Date,Total Confirmed Cases,Forecast Confirmed Cases,Forecast Confirmed Cases Upper Bound,Forecast Confirmed Cases Lower Bound,uid,Lat,Lang,Province,Country,ACC: Forecast Confirmed Cases
2020-03-13,9,0,0,0,US-Utah,40.15,-111.8624,Utah,US,-inf
2020-03-14,10,0,0,0,US-Utah,40.15,-111.8624,Utah,US,-inf
2020-03-15,28,0,0,0,US-Utah,40.15,-111.8624,Utah,US,-inf
2020-03-16,39,0,0,0,US-Utah,40.15,-111.8624,Utah,US,-inf
2020-03-17,51.0,0,0,0,US-Utah,40.15,-111.8624,Utah,US,-inf
2020-03-13,36,0,8,-8,US-Louisiana,31.1695,-91.8678,Louisiana,US,-inf
2020-03-14,77,1,7,-5,US-Louisiana,31.1695,-91.8678,Louisiana,US,-75.0
2020-03-15,91,1,7,-5,US-Louisiana,31.1695,-91.8678,Louisiana,US,-89.0
2020-03-16,136,0,6,-6,US-Louisiana,31.1695,-91.8678,Louisiana,US,-inf
2020-03-17,196.0,1,6,-4,US-Louisiana,31.1695,-91.8678,Louisiana,US,-194.0
2020-03-13,16,0,0,0,US-Michigan,43.3266,-84.5361,Michigan,US,-inf
2020-03-14,25,0,0,0,US-Michigan,43.3266,-84.5361,Michigan,US,-inf
2020-03-15,33,0,0,0,US-Michigan,43.3266,-84.5361,Michigan,US,-inf
2020-03-16,53,0,0,0,US-Michigan,43.3266,-84.5361,Michigan,US,-inf
2020-03-17,65.0,0,0,0,US-Michigan,43.3266,-84.5361,Michigan,US,-inf
2020-03-13,11364,11287,11545,10906,Iran-NaN,32.0,53.0,,Iran,0.99
2020-03-14,12729,12190,12416,11979,Iran-NaN,32.0,53.0,,Iran,0.96
2020-03-15,13938,12915,13105,12715,Iran-NaN,32.0,53.0,,Iran,0.92
2020-03-16,14991,13112,13330,12866,Iran-NaN,32.0,53.0,,Iran,0.86
2020-03-17,16169.0,13481,13772,13248,Iran-NaN,32.0,53.0,,Iran,0.8
2020-03-13,7979,7905,8026,7778,"Korea, South-NaN",36.0,128.0,,"Korea, South",0.99
2020-03-14,8086,7830,7965,7674,"Korea, South-NaN",36.0,128.0,,"Korea, South",0.97
2020-03-15,8162,7768,7902,7627,"Korea, South-NaN",36.0,128.0,,"Korea, South",0.95
2020-03-16,8236,8073,8251,7893,"Korea, South-NaN",36.0,128.0,,"Korea, South",0.98
2020-03-17,8320.0,8475,8725,8250,"Korea, South-NaN",36.0,128.0,,"Korea, South",0.98
2020-03-13,3661,3575,3832,3332,France-France,46.2276,2.2137,France,France,0.98
2020-03-14,4469,4298,4667,3886,France-France,46.2276,2.2137,France,France,0.96
2020-03-15,4499,4873,5578,4291,France-France,46.2276,2.2137,France,France,0.92
2020-03-16,6633,5739,7175,4391,France-France,46.2276,2.2137,France,France,0.84
2020-03-17,7652.0,6530,8182,5060,France-France,46.2276,2.2137,France,France,0.83
2020-03-13,696,687,692,683,Cruise Ship-Diamond Princess,35.4437,139.638,Diamond Princess,Cruise Ship,0.99
2020-03-14,696,678,682,675,Cruise Ship-Diamond Princess,35.4437,139.638,Diamond Princess,Cruise Ship,0.97
2020-03-15,696,670,674,666,Cruise Ship-Diamond Princess,35.4437,139.638,Diamond Princess,Cruise Ship,0.96
2020-03-16,696,677,682,673,Cruise Ship-Diamond Princess,35.4437,139.638,Diamond Princess,Cruise Ship,0.97
2020-03-17,696.0,669,674,663,Cruise Ship-Diamond Princess,35.4437,139.638,Diamond Princess,Cruise Ship,0.96
2020-03-13,801,892,3177,-1394,Denmark-Denmark,56.2639,9.5018,Denmark,Denmark,0.9
2020-03-14,827,1360,5519,-2170,Denmark-Denmark,56.2639,9.5018,Denmark,Denmark,0.61
2020-03-15,864,1754,10197,-4367,Denmark-Denmark,56.2639,9.5018,Denmark,Denmark,0.49
2020-03-16,914,2335,11123,-5826,Denmark-Denmark,56.2639,9.5018,Denmark,Denmark,0.39
2020-03-17,977.0,1543,8786,-6511,Denmark-Denmark,56.2639,9.5018,Denmark,Denmark,0.63
2020-03-13,798,578,599,556,United Kingdom-United Kingdom,55.3781,-3.4360000000000004,United Kingdom,United Kingdom,0.62
2020-03-14,1140,611,633,590,United Kingdom-United Kingdom,55.3781,-3.4360000000000004,United Kingdom,United Kingdom,0.13
2020-03-15,1140,618,647,590,United Kingdom-United Kingdom,55.3781,-3.4360000000000004,United Kingdom,United Kingdom,0.16
2020-03-16,1543,603,626,578,United Kingdom-United Kingdom,55.3781,-3.4360000000000004,United Kingdom,United Kingdom,-0.56
2020-03-17,1950.0,561,591,539,United Kingdom-United Kingdom,55.3781,-3.4360000000000004,United Kingdom,United Kingdom,-1.48
2020-03-13,804,423,438,407,Netherlands-Netherlands,52.1326,5.2913,Netherlands,Netherlands,0.1
2020-03-14,959,281,292,270,Netherlands-Netherlands,52.1326,5.2913,Netherlands,Netherlands,-1.41
2020-03-15,1135,173,179,166,Netherlands-Netherlands,52.1326,5.2913,Netherlands,Netherlands,-4.56
2020-03-16,1413,22,25,20,Netherlands-Netherlands,52.1326,5.2913,Netherlands,Netherlands,-62.23
2020-03-17,1705.0,-3,-2,-4,Netherlands-Netherlands,52.1326,5.2913,Netherlands,Netherlands,570.33
