Date,Total Confirmed Cases,Forecast Confirmed Cases,Forecast Confirmed Cases Upper Bound,Forecast Confirmed Cases Lower Bound,uid,Lat,Lang,Province,Country,ACC: Forecast Confirmed Cases
2020-03-16,147,96,103,89,Thailand-NaN,15.0,101.0,,Thailand,0.47
2020-03-17,177.0,112,124,98,Thailand-NaN,15.0,101.0,,Thailand,0.42
2020-03-16,825,880,891,867,Japan-NaN,36.0,138.0,,Japan,0.94
2020-03-17,878.0,991,1003,979,Japan-NaN,36.0,138.0,,Japan,0.89
2020-03-16,243,230,233,227,Singapore-NaN,1.2833,103.8333,,Singapore,0.94
2020-03-17,266.0,243,252,234,Singapore-NaN,1.2833,103.8333,,Singapore,0.91
2020-03-16,566,375,389,362,Malaysia-NaN,2.5,112.5,,Malaysia,0.49
2020-03-17,673.0,368,377,358,Malaysia-NaN,2.5,112.5,,Malaysia,0.17
2020-03-16,103,90,94,86,Canada-British Columbia,49.2827,-123.1207,British Columbia,Canada,0.86
2020-03-17,103.0,87,92,81,Canada-British Columbia,49.2827,-123.1207,British Columbia,Canada,0.82
2020-03-16,171,190,198,182,Australia-New South Wales,-33.8688,151.2093,New South Wales,Australia,0.9
2020-03-17,210.0,225,245,214,Australia-New South Wales,-33.8688,151.2093,New South Wales,Australia,0.93
2020-03-16,71,102,112,92,Australia-Victoria,-37.8136,144.9631,Victoria,Australia,0.7
2020-03-17,94.0,122,134,110,Australia-Victoria,-37.8136,144.9631,Victoria,Australia,0.77
2020-03-16,68,70,207,-99,Australia-Queensland,-28.0167,153.4,Queensland,Australia,0.97
2020-03-17,78.0,83,413,-151,Australia-Queensland,-28.0167,153.4,Queensland,Australia,0.94
2020-03-16,7272,6642,6805,6495,Germany-NaN,51.0,9.0,,Germany,0.91
2020-03-17,9257.0,8614,8876,8376,Germany-NaN,51.0,9.0,,Germany,0.93
2020-03-16,277,597,726,470,Finland-NaN,64.0,26.0,,Finland,0.46
2020-03-17,321.0,838,1198,527,Finland-NaN,64.0,26.0,,Finland,0.38
2020-03-16,142,173,190,148,Philippines-NaN,13.0,122.0,,Philippines,0.82
2020-03-17,187.0,167,198,138,Philippines-NaN,13.0,122.0,,Philippines,0.88
2020-03-16,119,138,148,128,India-NaN,21.0,78.0,,India,0.86
2020-03-17,142.0,173,182,158,India-NaN,21.0,78.0,,India,0.82
2020-03-16,27980,30858,35567,27177,Italy-NaN,43.0,12.0,,Italy,0.91
2020-03-17,31506.0,36064,42394,28947,Italy-NaN,43.0,12.0,,Italy,0.87
2020-03-16,1103,1201,1235,1168,Sweden-NaN,63.0,16.0,,Sweden,0.92
2020-03-17,1190.0,1566,1641,1469,Sweden-NaN,63.0,16.0,,Sweden,0.76
2020-03-16,9942,13976,17587,9260,Spain-NaN,40.0,-4.0,,Spain,0.71
2020-03-17,11748.0,21709,27155,15003,Spain-NaN,40.0,-4.0,,Spain,0.54
2020-03-16,1058,946,998,896,Belgium-NaN,50.8333,4.0,,Belgium,0.88
2020-03-17,1243.0,998,1078,916,Belgium-NaN,50.8333,4.0,,Belgium,0.75
2020-03-16,150,131,132,129,Egypt-NaN,26.0,30.0,,Egypt,0.85
2020-03-17,196.0,140,143,137,Egypt-NaN,26.0,30.0,,Egypt,0.6
2020-03-16,99,101,102,101,Lebanon-NaN,33.8547,35.8623,,Lebanon,0.98
2020-03-17,120.0,85,86,84,Lebanon-NaN,33.8547,35.8623,,Lebanon,0.59
2020-03-16,124,130,132,127,Iraq-NaN,33.0,44.0,,Iraq,0.95
2020-03-17,154.0,146,149,143,Iraq-NaN,33.0,44.0,,Iraq,0.95
2020-03-16,214,164,180,157,Bahrain-NaN,26.0275,50.55,,Bahrain,0.7
2020-03-17,228.0,104,115,94,Bahrain-NaN,26.0275,50.55,,Bahrain,-0.19
2020-03-16,123,137,144,129,Kuwait-NaN,29.5,47.75,,Kuwait,0.9
2020-03-17,130.0,165,167,163,Kuwait-NaN,29.5,47.75,,Kuwait,0.79
2020-03-16,2200,1910,1979,1842,Switzerland-NaN,46.8182,8.2275,,Switzerland,0.85
