Country,Date,Forecast Active Cases,Forecast Active Cases Lower Bound,Forecast Active Cases Upper Bound,Forecast Confirmed Cases,Forecast Confirmed Cases Lower Bound,Forecast Confirmed Cases Upper Bound,Forecast New Cases,Forecast New Cases Lower Bound,Forecast New Cases Upper Bound,Lang,Lat,Province,uid
Nigeria,2020-01-22,0,0,0,0,0,0,0,0,0,8.6753,9.082,,Nigeria
Honduras,2020-01-22,0,0,0,0,0,0,0,0,0,-86.2419,15.2,,Honduras
Cambodia,2020-01-22,0,0,0,0,0,0,0,0,0,104.9167,11.55,,Cambodia
Cameroon,2020-01-22,0,0,0,0,0,0,0,0,0,11.5021,3.8480000000000003,,Cameroon
West Bank and Gaza,2020-01-22,0,0,0,0,0,0,0,0,0,35.2332,31.9522,,West Bank and Gaza
West Bank and Gaza,2020-01-23,0,0,0,0,0,0,0,0,0,35.2332,31.9522,,West Bank and Gaza
Nigeria,2020-01-23,0,0,0,0,0,0,0,0,0,8.6753,9.082,,Nigeria
Cameroon,2020-01-23,0,0,0,0,0,0,0,0,0,11.5021,3.8480000000000003,,Cameroon
Honduras,2020-01-23,0,0,0,0,0,0,0,0,0,-86.2419,15.2,,Honduras
Cambodia,2020-01-23,0,0,0,0,0,0,0,0,0,104.9167,11.55,,Cambodia
West Bank and Gaza,2020-01-24,0,0,0,0,0,0,0,0,0,35.2332,31.9522,,West Bank and Gaza
Cameroon,2020-01-24,0,0,0,0,0,0,0,0,0,11.5021,3.8480000000000003,,Cameroon
Cambodia,2020-01-24,0,0,0,0,0,0,0,0,0,104.9167,11.55,,Cambodia
Honduras,2020-01-24,0,0,0,0,0,0,0,0,0,-86.2419,15.2,,Honduras
Nigeria,2020-01-24,0,0,0,0,0,0,0,0,0,8.6753,9.082,,Nigeria
Honduras,2020-01-25,0,0,0,0,0,0,0,0,0,-86.2419,15.2,,Honduras
Cameroon,2020-01-25,0,0,0,0,0,0,0,0,0,11.5021,3.8480000000000003,,Cameroon
Nigeria,2020-01-25,0,0,0,0,0,0,0,0,0,8.6753,9.082,,Nigeria
Cambodia,2020-01-25,0,0,0,0,0,0,0,0,0,104.9167,11.55,,Cambodia
West Bank and Gaza,2020-01-25,0,0,0,0,0,0,0,0,0,35.2332,31.9522,,West Bank and Gaza
Cambodia,2020-01-26,0,0,0,0,0,0,0,0,0,104.9167,11.55,,Cambodia
Honduras,2020-01-26,0,0,0,0,0,0,0,0,0,-86.2419,15.2,,Honduras
Cameroon,2020-01-26,0,0,0,0,0,0,0,0,0,11.5021,3.8480000000000003,,Cameroon
Nigeria,2020-01-26,0,0,0,0,0,0,0,0,0,8.6753,9.082,,Nigeria
West Bank and Gaza,2020-01-26,0,0,0,0,0,0,0,0,0,35.2332,31.9522,,West Bank and Gaza
Honduras,2020-01-27,0,0,0,0,0,0,0,0,0,-86.2419,15.2,,Honduras
Cambodia,2020-01-27,1,1,1,1,1,1,1,1,1,104.9167,11.55,,Cambodia
West Bank and Gaza,2020-01-27,0,0,0,0,0,0,0,0,0,35.2332,31.9522,,West Bank and Gaza
Cameroon,2020-01-27,0,0,0,0,0,0,0,0,0,11.5021,3.8480000000000003,,Cameroon
Nigeria,2020-01-27,0,0,0,0,0,0,0,0,0,8.6753,9.082,,Nigeria
Nigeria,2020-01-28,0,0,0,0,0,0,0,0,0,8.6753,9.082,,Nigeria
Cameroon,2020-01-28,0,0,0,0,0,0,0,0,0,11.5021,3.8480000000000003,,Cameroon
Cambodia,2020-01-28,1,1,1,1,1,1,0,0,0,104.9167,11.55,,Cambodia
West Bank and Gaza,2020-01-28,0,0,0,0,0,0,0,0,0,35.2332,31.9522,,West Bank and Gaza
Honduras,2020-01-28,0,0,0,0,0,0,0,0,0,-86.2419,15.2,,Honduras
Honduras,2020-01-29,0,0,0,0,0,0,0,0,0,-86.2419,15.2,,Honduras
Cambodia,2020-01-29,1,1,1,1,1,1,0,0,0,104.9167,11.55,,Cambodia
