Country,Date,Forecast Active Cases,Forecast Active Cases Lower Bound,Forecast Active Cases Upper Bound,Forecast Confirmed Cases,Forecast Confirmed Cases Lower Bound,Forecast Confirmed Cases Upper Bound,Forecast New Cases,Forecast New Cases Lower Bound,Forecast New Cases Upper Bound,Lang,Lat,Province,uid
West Bank and Gaza,2020-04-04,195,195,195,217,217,217,23,23,23,35.2332,31.9522,,West Bank and Gaza
Poland,2020-04-04,3432,3432,3432,3627,3627,3627,244,244,244,19.1451,51.9194,,Poland
Greece,2020-04-04,1527,1527,1527,1673,1673,1673,60,60,60,21.8243,39.0742,,Greece
Hungary,2020-04-04,588,588,588,678,678,678,55,55,55,19.5033,47.1625,,Hungary
Mexico,2020-04-04,995,995,995,1688,1688,1688,178,178,178,-102.5528,23.6345,,Mexico
Iceland,2020-04-04,1017,1017,1017,1417,1417,1417,53,53,53,-19.0208,64.9631,,Iceland
Moldova,2020-04-04,711,711,711,752,752,752,161,161,161,28.3699,47.4116,,Moldova
Honduras,2020-04-04,246,246,246,264,264,264,42,42,42,-86.2419,15.2,,Honduras
Netherlands,2020-04-04,63,63,63,64,64,64,2,2,2,-70.0358,12.5186,Aruba,Netherlands - Aruba
Portugal,2020-04-04,10183,10183,10183,10524,10524,10524,638,638,638,-8.2245,39.3999,,Portugal
Qatar,2020-04-04,1213,1213,1213,1325,1325,1325,250,250,250,51.1839,25.3548,,Qatar
Kuwait,2020-04-04,385,385,385,479,479,479,62,62,62,47.75,29.5,,Kuwait
Netherlands,2020-04-04,14726,14726,14726,16627,16627,16627,904,904,904,5.2913,52.1326,,Netherlands
Norway,2020-04-04,5456,5456,5456,5550,5550,5550,180,180,180,8.4689,60.472,,Norway
"Korea, South",2020-04-04,3654,3654,3654,10156,10156,10156,94,94,94,128.0,36.0,,"Korea, South"
North Macedonia,2020-04-04,446,446,446,483,483,483,53,53,53,21.7453,41.6086,,North Macedonia
Latvia,2020-04-04,507,507,507,509,509,509,16,16,16,24.6032,56.8796,,Latvia
