Province,Country,uid,Date,Total Confirmed Cases,Total Deaths,Total Recovered,Active Cases,New Cases,New Deaths,New Recovered,Closed cases,Death Rate Based on Confirmed cases,Death Rate Based on Closed cases,Lat Lang,Benchmark
,Hungary,Hungary,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"47.1625,19.5033",0.02
,Uruguay,Uruguay,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-32.5228,-55.7658",0.02
,Honduras,Honduras,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"15.2,-86.2419",0.02
,Holy See,Holy See,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"41.9029,12.4534",0.02
Chongqing,China,China - Chongqing,2020-01-22,6,0,0,6,0,0,0.0,0.0,0.0,0.0,"30.0572,107.874",0.02
,US,US,2020-01-22,1,0,0,1,0,0,0.0,0.0,0.0,0.0,"37.0902,-95.7129",0.02
,Haiti,Haiti,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"18.9712,-72.2852",0.02
New South Wales,Australia,Australia - New South Wales,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-33.8688,151.2093",0.02
,Chad,Chad,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"15.4542,18.7322",0.02
Reunion,France,France - Reunion,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-21.1351,55.2471",0.02
,Grenada,Grenada,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"12.1165,-61.678999999999995",0.02
,Egypt,Egypt,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"26.0,30.0",0.02
,Guinea-Bissau,Guinea-Bissau,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"11.8037,-15.1804",0.02
,Ecuador,Ecuador,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-1.8312,-78.1834",0.02
Hunan,China,China - Hunan,2020-01-22,4,0,0,4,0,0,0.0,0.0,0.0,0.0,"27.6104,111.7088",0.02
,Mali,Mali,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"17.570692,-3.996166000000001",0.02
,Dominican Republic,Dominican Republic,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"18.7357,-70.1627",0.02
,Djibouti,Djibouti,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"11.8251,42.5903",0.02
,Antigua and Barbuda,Antigua and Barbuda,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"17.0608,-61.7964",0.02
,Denmark,Denmark,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"56.2639,9.5018",0.02
Inner Mongolia,China,China - Inner Mongolia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"44.0935,113.9448",0.02
