Country,Date,Forecast Active Cases,Forecast Active Cases Lower Bound,Forecast Active Cases Upper Bound,Forecast Confirmed Cases,Forecast Confirmed Cases Lower Bound,Forecast Confirmed Cases Upper Bound,Forecast New Cases,Forecast New Cases Lower Bound,Forecast New Cases Upper Bound,Lang,Lat,Province,uid
South Africa,2020-04-04,1481,1481,1481,1585,1585,1585,80,80,80,22.9375,-30.5595,,South Africa
Moldova,2020-04-04,711,711,711,752,752,752,161,161,161,28.3699,47.4116,,Moldova
Singapore,2020-04-04,886,886,886,1189,1189,1189,75,75,75,103.8333,1.2833,,Singapore
Lithuania,2020-04-04,753,753,753,771,771,771,75,75,75,23.8813,55.1694,,Lithuania
West Bank and Gaza,2020-04-04,195,195,195,217,217,217,23,23,23,35.2332,31.9522,,West Bank and Gaza
Armenia,2020-04-04,720,720,720,770,770,770,34,34,34,45.0382,40.0691,,Armenia
Slovakia,2020-04-04,460,460,460,471,471,471,21,21,21,19.699,48.669,,Slovakia
Mexico,2020-04-04,995,995,995,1688,1688,1688,178,178,178,-102.5528,23.6345,,Mexico
Slovenia,2020-04-04,876,876,876,977,977,977,43,43,43,14.9955,46.1512,,Slovenia
Mauritius,2020-04-04,182,182,182,196,196,196,10,10,10,57.5,-20.2,,Mauritius
Malaysia,2020-04-04,2511,2511,2511,3483,3483,3483,150,150,150,112.5,2.5,,Malaysia
Sri Lanka,2020-04-04,134,134,134,166,166,166,7,7,7,81.0,7.0,,Sri Lanka
Malta,2020-04-04,211,211,211,213,213,213,11,11,11,14.3754,35.9375,,Malta
Luxembourg,2020-04-04,2198,2198,2198,2729,2729,2729,117,117,117,6.1296,49.8153,,Luxembourg
Philippines,2020-04-04,2893,2893,2893,3094,3094,3094,76,76,76,122.0,13.0,,Philippines
Netherlands,2020-04-04,14726,14726,14726,16627,16627,16627,904,904,904,5.2913,52.1326,,Netherlands
Serbia,2020-04-04,1580,1580,1580,1624,1624,1624,148,148,148,21.0059,44.0165,,Serbia
Portugal,2020-04-04,10183,10183,10183,10524,10524,10524,638,638,638,-8.2245,39.3999,,Portugal
Peru,2020-04-04,759,759,759,1746,1746,1746,151,151,151,-75.0152,-9.19,,Peru
Switzerland,2020-04-04,13424,13424,13424,20505,20505,20505,899,899,899,8.2275,46.8182,,Switzerland
Albania,2020-04-04,214,214,214,333,333,333,29,29,29,20.1683,41.1533,,Albania
Panama,2020-04-04,1619,1619,1619,1673,1673,1673,198,198,198,-80.7821,8.538,,Panama
Algeria,2020-04-04,1031,1031,1031,1251,1251,1251,80,80,80,1.6596,28.0339,,Algeria
Qatar,2020-04-04,1213,1213,1213,1325,1325,1325,250,250,250,51.1839,25.3548,,Qatar
Taiwan*,2020-04-04,300,300,300,355,355,355,7,7,7,121.0,23.7,,Taiwan*
Romania,2020-04-04,3138,3138,3138,3613,3613,3613,430,430,430,24.9668,45.9432,,Romania
Oman,2020-04-04,214,214,214,277,277,277,25,25,25,57.0,21.0,,Oman
Norway,2020-04-04,5456,5456,5456,5550,5550,5550,180,180,180,8.4689,60.472,,Norway
Russia,2020-04-04,4355,4355,4355,4731,4731,4731,582,582,582,90.0,60.0,,Russia
North Macedonia,2020-04-04,446,446,446,483,483,483,53,53,53,21.7453,41.6086,,North Macedonia
Nigeria,2020-04-04,185,185,185,214,214,214,4,4,4,8.6753,9.082,,Nigeria
Afghanistan,2020-04-04,282,282,282,299,299,299,18,18,18,65.0,33.0,,Afghanistan
San Marino,2020-04-04,200,200,200,259,259,259,14,14,14,12.4578,43.9424,,San Marino
Saudi Arabia,2020-04-04,1730,1730,1730,2179,2179,2179,140,140,140,45.0,24.0,,Saudi Arabia
Thailand,2020-04-04,1373,1373,1373,2067,2067,2067,89,89,89,101.0,15.0,,Thailand
New Zealand,2020-04-04,822,822,822,950,950,950,82,82,82,174.886,-40.9006,,New Zealand
Sweden,2020-04-04,5865,5865,5865,6443,6443,6443,312,312,312,16.0,63.0,,Sweden
Poland,2020-04-04,3432,3432,3432,3627,3627,3627,244,244,244,19.1451,51.9194,,Poland
Argentina,2020-04-04,1129,1129,1129,1451,1451,1451,186,186,186,-63.6167,-38.4161,,Argentina
Senegal,2020-04-04,145,145,145,219,219,219,12,12,12,-14.4524,14.4974,,Senegal
Netherlands,2020-04-04,63,63,63,64,64,64,2,2,2,-70.0358,12.5186,Aruba,Netherlands - Aruba
Morocco,2020-04-04,794,794,794,919,919,919,128,128,128,-7.0926,31.7917,,Morocco
Andorra,2020-04-04,428,428,428,466,466,466,27,27,27,1.5218,42.5063,,Andorra
Pakistan,2020-04-04,2646,2646,2646,2818,2818,2818,132,132,132,69.3451,30.3753,,Pakistan
Bosnia and Herzegovina,2020-04-04,573,573,573,624,624,624,45,45,45,17.6791,43.9159,,Bosnia and Herzegovina
Lebanon,2020-04-04,449,449,449,520,520,520,12,12,12,35.8623,33.8547,,Lebanon
Colombia,2020-04-04,1289,1289,1289,1406,1406,1406,139,139,139,-74.2973,4.5709,,Colombia
Bahrain,2020-04-04,261,261,261,688,688,688,16,16,16,50.55,26.0275,,Bahrain
Costa Rica,2020-04-04,420,420,420,435,435,435,19,19,19,-83.7534,9.7489,,Costa Rica
