uid,Lat,Lang,Province,Country,2 Days Accuracy Confirmed Cases,2 Days Accuracy Active Cases,2 Days Accuracy New Cases,5 Days Accuracy Confirmed Cases,5 Days Accuracy Active Cases,5 Days Accuracy New Cases
Canada - New Brunswick,46.5653,-66.4619,New Brunswick,Canada,0.75,0.7,0.05,0.54,0.7,0.05
Afghanistan,33.0,65.0,,Afghanistan,0.75,0.75,0.05,0.9199999999999999,0.96,0.05
India,21.0,78.0,,India,0.75,0.8,0.05,0.86,0.78,0.05
Dominican Republic,18.7357,-70.1627,,Dominican Republic,0.75,0.8,0.05,0.8799999999999999,0.9400000000000001,0.05
Cameroon,3.8480000000000003,11.5021,,Cameroon,0.8,0.7,0.55,0.6599999999999999,0.58,0.76
Kenya,-0.0236,37.9062,,Kenya,0.8,0.75,0.05,0.7200000000000001,0.7200000000000001,0.5599999999999999
Guinea,9.9456,-9.6966,,Guinea,0.8,0.8,0.55,0.6399999999999999,0.6399999999999999,0.05
Congo (Kinshasa),-4.0383,21.7587,,Congo (Kinshasa),0.8,0.8,0.05,0.9199999999999999,0.82,0.05
Canada - Manitoba,53.7609,-98.8139,Manitoba,Canada,0.8,0.8,0.05,0.76,0.9,0.05
Kosovo,42.602636,20.902977,,Kosovo,0.8,0.8500000000000001,0.05,0.78,0.76,0.05
Honduras,15.2,-86.2419,,Honduras,0.8,0.8500000000000001,0.05,0.8,0.9,0.05
Canada - Quebec,52.9399,-73.5491,Quebec,Canada,0.8,0.9,0.05,0.9,0.9800000000000001,0.05
Ghana,7.9465,-1.0232,,Ghana,0.85,0.8500000000000001,0.05,0.86,0.7400000000000001,0.05
Peru,-9.19,-75.0152,,Peru,0.8500000000000001,0.8,0.2,0.9400000000000001,0.44000000000000006,0.28
Niger,17.6078,8.0817,,Niger,0.8500000000000001,0.8500000000000001,0.4,0.48,0.45999999999999996,0.05
France,46.2276,2.2137,,France,0.8500000000000001,0.8500000000000001,0.45,0.9400000000000001,0.9,0.5599999999999999
Israel,31.0,35.0,,Israel,0.8500000000000001,0.8500000000000001,0.8999999999999999,0.8800000000000001,0.9800000000000001,0.32
Australia - Victoria,-37.8136,144.9631,Victoria,Australia,0.8500000000000001,0.8500000000000001,0.05,0.86,0.56,0.05
Ecuador,-1.8312,-78.1834,,Ecuador,0.8500000000000001,0.8500000000000001,0.05,0.9,0.9,0.54
Nigeria,9.082,8.6753,,Nigeria,0.8500000000000001,0.8500000000000001,0.05,0.78,0.86,0.05
Canada - Saskatchewan,52.9399,-106.4509,Saskatchewan,Canada,0.8500000000000001,0.8500000000000001,0.05,0.8800000000000001,0.9199999999999999,0.05
Canada - Newfoundland and Labrador,53.1355,-57.6604,Newfoundland and Labrador,Canada,0.8500000000000001,0.8500000000000001,0.05,0.6,0.7000000000000001,0.05
Bosnia and Herzegovina,43.9159,17.6791,,Bosnia and Herzegovina,0.8500000000000001,0.9,0.5,0.9199999999999999,0.99,0.44000000000000006
Canada - Nova Scotia,44.681999999999995,-63.7443,Nova Scotia,Canada,0.8500000000000001,0.9,0.5,0.96,0.96,0.24
Cyprus,35.1264,33.4299,,Cyprus,0.8500000000000001,0.9,0.65,0.9199999999999999,0.78,0.19999999999999998
France - Reunion,-21.1351,55.2471,Reunion,France,0.8500000000000001,0.9,0.05,0.86,0.8400000000000001,0.78
Philippines,13.0,122.0,,Philippines,0.8500000000000001,0.9,0.05,0.9400000000000001,0.9,0.9800000000000001
