Lat,Lang,Province,Country,2 Days Accuracy: Confirmed Cases,2 Days Accuracy: Active Cases,2 Days Accuracy: New Cases,5 Days Accuracy: Confirmed Cases,5 Days Accuracy: Active Cases,5 Days Accuracy: New Cases,14 Days Accuracy: Confirmed Cases,14 Days Accuracy: Active Cases,14 Days Accuracy: New Cases,30 Days Accuracy: Confirmed Cases,30 Days Accuracy: Active Cases,30 Days Accuracy: New Cases
1.2833,103.8333,,Singapore,0.8,0.8,0.05,0.9199999999999999,0.8399999999999999,0.05,0.63,0.64,0.76,0.12,0.25,0.77
51.2538,-85.3232,Ontario,Canada,0.8,0.8,0.05,0.9400000000000001,0.9800000000000001,0.05,0.35,0.33,0.93,0.24,0.2,0.8
23.7,121.0,,Taiwan*,0.8,0.8500000000000001,0.05,0.9400000000000001,0.9400000000000001,0.05,0.64,0.66,0.93,0.33,0.49,0.8
42.5063,1.5218,,Andorra,0.85,0.75,0.05,0.74,0.7000000000000001,0.05,0.46,0.0,0.43,0.0,0.0,0.23
51.9194,19.1451,,Poland,0.85,0.8,0.05,0.9,0.82,0.05,0.14,0.1,0.93,0.0,0.0,0.57
55.3781,-3.4360000000000004,United Kingdom,United Kingdom,0.85,0.8,0.05,0.9199999999999999,0.9400000000000001,0.05,0.31,0.24,0.05,0.22,0.03,0.8
44.6939,-69.3819,Maine,US,0.85,0.9,0.05,0.9199999999999999,0.8800000000000001,0.05,0.0,0.0,0.05,0.0,0.0,0.33
18.7357,-70.1627,,Dominican Republic,0.8500000000000001,0.8500000000000001,0.05,0.36,0.36,0.05,0.44,0.44,0.43,0.0,0.0,0.3
43.9159,17.6791,,Bosnia and Herzegovina,0.8500000000000001,0.9,0.05,0.6199999999999999,0.5599999999999999,0.05,0.15,0.15,0.93,0.0,0.0,0.5
44.2685,-89.6165,Wisconsin,US,0.8500000000000001,0.9,0.05,0.62,0.6599999999999999,0.05,0.41,0.0,0.9,0.0,0.0,0.43
38.3135,-117.0554,Nevada,US,0.8500000000000001,0.8,0.05,0.64,0.6,0.05,0.0,0.0,0.86,0.0,0.0,0.4
55.1694,23.8813,,Lithuania,0.8500000000000001,0.9,0.05,0.64,0.5599999999999999,0.05,0.15,0.15,0.79,0.0,0.0,0.4
42.2302,-71.5301,Massachusetts,US,0.8500000000000001,0.8,0.05,0.66,0.6,0.05,0.0,0.0,0.86,0.0,0.0,0.4
9.7489,-83.7534,,Costa Rica,0.8500000000000001,0.7,0.05,0.76,0.68,0.05,0.16,0.09,0.86,0.0,0.0,0.5
28.0339,1.6596,,Algeria,0.8500000000000001,0.95,0.05,0.8400000000000001,0.7,0.05,0.44,0.55,0.79,0.23,0.0,0.6
26.0,30.0,,Egypt,0.8500000000000001,0.75,0.05,0.86,0.9199999999999999,0.5,0.46,0.26,0.84,0.32,0.18,0.57
47.5162,14.5501,,Austria,0.8500000000000001,0.8,0.05,0.8799999999999999,0.9400000000000001,0.05,0.19,0.19,0.9,0.11,0.0,0.83
-34.9285,138.6007,South Australia,Australia,0.8500000000000001,0.95,0.05,0.8799999999999999,0.82,0.05,0.39,0.39,0.71,0.22,0.3,0.43
33.8547,35.8623,,Lebanon,0.8500000000000001,0.95,0.05,0.8799999999999999,0.86,0.05,0.32,0.31,0.78,0.0,0.0,0.6
23.6345,-102.5528,,Mexico,0.8500000000000001,0.85,0.05,0.9,0.7600000000000001,0.05,0.29,0.21,0.79,0.0,0.0,0.53
61.8926,-6.9118,Faroe Islands,Denmark,0.8500000000000001,0.8500000000000001,0.05,0.9,0.8800000000000001,0.05,0.3,0.3,0.71,0.0,0.0,0.4
39.0639,-76.8021,Maryland,US,0.8500000000000001,0.8500000000000001,0.05,0.9,0.86,0.05,0.0,0.0,0.93,0.0,0.0,0.43
46.2276,2.2137,France,France,0.8500000000000001,0.6499999999999999,0.05,0.9199999999999999,0.78,0.05,0.27,0.25,0.05,0.04,0.0,0.87
24.0,54.0,,United Arab Emirates,0.8500000000000001,0.8500000000000001,0.05,0.9199999999999999,0.8800000000000001,0.05,0.47,0.52,0.43,0.44,0.35,0.37
36.1162,-119.6816,California,US,0.8500000000000001,0.9,0.05,0.9199999999999999,0.9199999999999999,0.05,0.0,0.0,0.93,0.0,0.0,0.43
52.9399,-73.5491,Quebec,Canada,0.8500000000000001,0.7,0.05,0.9200000000000002,0.9,0.05,0.19,0.19,0.79,0.0,0.0,0.5
-9.19,-75.0152,,Peru,0.8500000000000001,0.8,0.05,0.9400000000000001,0.86,0.05,0.13,0.09,0.79,0.0,0.0,0.47
40.0,-4.0,,Spain,0.8500000000000001,0.8500000000000001,0.05,0.9400000000000001,0.8800000000000001,0.05,0.16,0.12,0.05,0.0,0.0,0.87
45.6945,-93.9002,Minnesota,US,0.8500000000000001,0.9,0.05,0.9400000000000001,0.96,0.05,0.0,0.0,0.93,0.0,0.0,0.43
56.2639,9.5018,Denmark,Denmark,0.8500000000000001,0.8,0.05,0.96,0.8800000000000001,0.05,0.08,0.02,0.91,0.0,0.0,0.7
52.1326,5.2913,Netherlands,Netherlands,0.8500000000000001,0.8500000000000001,0.05,0.96,0.9199999999999999,0.05,0.24,0.21,0.05,0.0,0.0,0.77
63.0,16.0,,Sweden,0.8500000000000001,0.9,0.05,0.9800000000000001,0.9,0.05,0.25,0.19,0.05,0.07,0.11,0.83
43.0,12.0,,Italy,0.8500000000000001,0.95,0.05,0.9800000000000001,0.9199999999999999,0.05,0.39,0.29,0.05,0.0,0.01,0.93
40.3495,-88.9861,Illinois,US,0.9,0.8500000000000001,0.05,0.4,0.32,0.05,0.0,0.0,0.93,0.0,0.0,0.43
35.7478,-86.6923,Tennessee,US,0.9,0.9,0.05,0.44000000000000006,0.4,0.05,0.0,0.0,0.93,0.0,0.0,0.43
42.1657,-74.9481,New York,US,0.9,0.95,0.05,0.45999999999999996,0.42000000000000004,0.05,0.0,0.0,0.93,0.0,0.0,0.43
32.7416,-89.6787,Mississippi,US,0.9,0.9,0.05,0.47999999999999987,0.47999999999999987,0.6,0.0,0.0,0.05,0.0,0.0,0.33
34.9697,-92.3731,Arkansas,US,0.9,0.85,0.05,0.5,0.48,0.05,0.0,0.0,0.05,0.0,0.0,0.33
58.5953,25.0136,,Estonia,0.9,0.8500000000000001,0.05,0.5,0.5,0.05,0.16,0.16,0.86,0.0,0.0,0.53
39.8494,-86.2583,Indiana,US,0.9,0.95,0.05,0.5199999999999999,0.44000000000000006,0.62,0.0,0.0,0.86,0.0,0.0,0.4
-31.9505,115.8605,Western Australia,Australia,0.9,0.9,0.05,0.66,0.62,0.05,0.19,0.17,0.79,0.0,0.0,0.47
-14.235,-51.9253,,Brazil,0.9,0.95,0.05,0.66,0.6,0.05,0.24,0.18,0.84,0.0,0.0,0.6
24.0,45.0,,Saudi Arabia,0.9,0.9,0.05,0.68,0.6799999999999999,0.05,0.16,0.15,0.79,0.0,0.0,0.5
38.8974,-77.0268,District of Columbia,US,0.9,0.9,0.05,0.7,0.62,0.05,0.0,0.0,0.64,0.0,0.0,0.3
45.1,15.2,,Croatia,0.9,0.9,0.05,0.7,0.68,0.05,0.27,0.27,0.86,0.41,0.0,0.7
25.3548,51.1839,,Qatar,0.9,0.8500000000000001,0.05,0.7000000000000001,0.56,0.05,0.08,0.09,0.79,0.0,0.0,0.57
40.3888,-82.7649,Ohio,US,0.9,0.9,0.05,0.7000000000000001,0.64,0.05,0.0,0.0,0.93,0.0,0.0,0.43
40.15,-111.8624,Utah,US,0.9,0.95,0.05,0.76,0.7400000000000001,0.05,0.41,0.0,0.05,0.0,0.0,0.37
45.9432,24.9668,,Romania,0.9,0.9,0.05,0.7600000000000001,0.8,0.05,0.16,0.11,0.93,0.0,0.0,0.63
31.1695,-91.8678,Louisiana,US,0.9,0.9,0.05,0.7600000000000001,0.7600000000000001,0.05,0.11,0.0,0.05,0.0,0.0,0.43
64.9631,-19.0208,,Iceland,0.9,0.8500000000000001,0.05,0.8,0.8,0.05,0.34,0.34,0.91,0.0,0.0,0.73
43.4525,-71.5639,New Hampshire,US,0.9,0.8,0.05,0.8200000000000001,0.7999999999999999,0.05,0.0,0.0,0.71,0.0,0.0,0.33
-37.8136,144.9631,Victoria,Australia,0.9,0.7,0.05,0.8400000000000001,0.8,0.05,0.35,0.25,0.71,0.0,0.0,0.5
8.538,-80.7821,,Panama,0.9,0.8,0.05,0.8400000000000001,0.82,0.05,0.21,0.0,0.05,0.0,0.0,0.43
31.0,35.0,,Israel,0.9,0.8,0.05,0.8400000000000001,0.78,0.05,0.29,0.25,0.91,0.0,0.0,0.8
4.5709,-74.2973,,Colombia,0.9,0.7,0.05,0.86,0.8400000000000001,0.05,0.04,0.04,0.86,0.0,0.0,0.43
27.7663,-81.6868,Florida,US,0.9,0.8,0.05,0.86,0.8400000000000001,0.05,0.0,0.0,0.93,0.0,0.0,0.43
46.1512,14.9955,,Slovenia,0.9,0.8500000000000001,0.05,0.86,0.78,0.05,0.11,0.09,0.86,0.0,0.0,0.5
31.24,36.51,,Jordan,0.9,0.9,0.05,0.8799999999999999,0.8400000000000001,0.05,0.37,0.0,0.5,0.0,0.0,0.27
37.7693,-78.17,Virginia,US,0.9,0.9,0.05,0.8800000000000001,0.8200000000000001,0.05,0.0,0.0,0.93,0.0,0.0,0.43
53.9333,-116.5765,Alberta,Canada,0.9,0.9,0.05,0.9,0.8,0.05,0.13,0.09,0.71,0.0,0.0,0.47
33.0,44.0,,Iraq,0.9,0.9,0.05,0.9400000000000001,0.9399999999999998,0.05,0.51,0.54,0.05,0.09,0.0,0.73
50.8333,4.0,,Belgium,0.9,0.9,0.05,0.9400000000000001,0.9400000000000001,0.05,0.31,0.27,0.05,0.08,0.0,0.7
40.0691,45.0382,,Armenia,0.9,0.8,0.05,0.96,0.9,0.05,0.17,0.17,0.79,0.0,0.0,0.4
-1.8312,-78.1834,,Ecuador,0.95,0.9,0.05,0.4,0.42000000000000004,0.05,0.4,0.39,0.64,0.0,0.0,0.5
38.4561,-92.2884,Missouri,US,0.95,0.8,0.05,0.44000000000000006,0.45999999999999996,0.05,0.0,0.0,0.05,0.0,0.0,0.37
13.0,122.0,,Philippines,0.95,0.95,0.05,0.64,0.9,0.05,0.16,0.11,0.9,0.14,0.22,0.57
41.6086,21.7453,,North Macedonia,0.95,0.8500000000000001,0.05,0.68,0.64,0.05,0.16,0.16,0.64,0.0,0.0,0.37
21.0,78.0,,India,0.95,0.8500000000000001,0.05,0.7200000000000001,0.7200000000000001,0.05,0.38,0.41,0.92,0.28,0.0,0.67
34.8405,-106.2485,New Mexico,US,0.95,0.9,0.05,0.78,0.7,0.05,0.0,0.0,0.05,0.0,0.0,0.3
41.6809,-71.5118,Rhode Island,US,0.95,0.9,0.05,0.78,0.72,0.05,0.64,0.0,0.05,0.0,0.0,0.37
15.0,101.0,,Thailand,0.95,0.95,0.05,0.78,0.78,0.05,0.44,0.38,0.91,0.27,0.0,0.7
44.0165,21.0059,,Serbia,0.95,0.9,0.05,0.8200000000000001,0.78,0.05,0.03,0.03,0.93,0.0,0.0,0.47
-38.4161,-63.6167,,Argentina,0.95,0.9,0.05,0.8400000000000001,0.7200000000000001,0.05,0.31,0.23,0.86,0.0,0.0,0.53
41.1254,-98.2681,Nebraska,US,0.95,0.9,0.05,0.8600000000000001,0.78,0.8400000000000001,0.0,0.0,0.93,0.0,0.0,0.43
44.572,-122.0709,Oregon,US,0.95,0.9,0.05,0.8800000000000001,0.8400000000000001,0.05,0.0,0.0,0.86,0.0,0.0,0.4
47.1625,19.5033,,Hungary,0.95,0.8500000000000001,0.05,0.9,0.9200000000000002,0.05,0.33,0.24,0.79,0.0,0.0,0.5
-33.8688,151.2093,New South Wales,Australia,0.95,0.9,0.05,0.96,0.9199999999999999,0.05,0.39,0.34,0.99,0.0,0.0,0.63
43.9424,12.4578,,San Marino,0.95,0.95,0.05,0.96,0.96,0.05,0.39,0.4,0.64,0.0,0.0,0.53
64.0,26.0,,Finland,0.95,0.95,0.05,0.9800000000000001,0.9800000000000001,0.05,0.19,0.19,0.84,0.09,0.05,0.63
60.472,8.4689,,Norway,0.95,0.95,0.05,0.9800000000000001,0.8799999999999999,0.05,0.19,0.19,0.9,0.0,0.0,0.83
29.5,47.75,,Kuwait,0.95,0.99,0.05,0.9800000000000001,0.9800000000000001,0.05,0.56,0.58,0.86,0.06,0.0,0.7
32.0,53.0,,Iran,0.95,0.99,0.05,0.9800000000000001,0.8,0.05,0.51,0.44,0.75,0.01,0.02,0.97
40.2989,-74.521,New Jersey,US,0.99,0.95,0.05,0.38,0.34,0.05,0.0,0.0,0.79,0.0,0.0,0.37
39.0742,21.8243,,Greece,0.99,0.95,0.05,0.78,0.7600000000000001,0.05,0.33,0.32,0.98,0.0,0.0,0.63
16.0,108.0,,Vietnam,0.99,0.95,0.05,0.8400000000000001,0.86,0.05,0.7,0.14,0.92,0.0,0.0,0.5
36.0,138.0,,Japan,0.99,0.95,0.05,0.9199999999999999,0.8800000000000001,0.05,0.64,0.61,0.05,0.54,0.22,0.88
36.0,128.0,,"Korea, South",0.99,0.8,0.05,0.96,0.9,0.05,0.89,0.81,0.89,0.02,0.01,0.96
26.0275,50.55,,Bahrain,0.99,0.9,0.05,0.96,0.96,0.05,0.44,0.49,0.76,0.01,0.0,0.73
