Lat;Lang;Province;Country;Date;Forecast Confirmed Cases;Forecast Confirmed Cases Upper Bound;Forecast Confirmed Cases Lower Bound;Forecast New Cases;Forecast New Cases Upper Bound;Forecast New Cases Lower Bound
31.7917;-7.0926;;Morocco;2020-03-27;322;233;412;45;0;100
52.1326;5.2913;;Netherlands;2020-03-26;7547;6761;8334;984;451;1642
52.1326;5.2913;;Netherlands;2020-03-27;9287;7647;10684;1078;465;1539
-40.9006;174.886;;New Zealand;2020-03-26;274;210;351;51;14;90
-40.9006;174.886;;New Zealand;2020-03-27;330;224;470;61;0;126
41.6086;21.7453;;North Macedonia;2020-03-26;218;188;256;28;4;52
41.6086;21.7453;;North Macedonia;2020-03-27;250;185;332;26;0;69
60.472;8.4689;;Norway;2020-03-26;3443;3127;3759;267;77;431
60.472;8.4689;;Norway;2020-03-27;3730;3330;4116;292;146;455
30.3753;69.3451;;Pakistan;2020-03-26;1279;1147;1405;108;60;214
30.3753;69.3451;;Pakistan;2020-03-27;1453;1239;1737;129;25;248
8.538;-80.7821;;Panama;2020-03-26;541;445;622;55;8;118
8.538;-80.7821;;Panama;2020-03-27;613;456;778;53;0;137
-9.19;-75.0152;;Peru;2020-03-26;558;491;623;54;24;91
-9.19;-75.0152;;Peru;2020-03-27;618;544;723;55;11;104
13.0;122.0;;Philippines;2020-03-26;803;662;936;108;55;180
13.0;122.0;;Philippines;2020-03-27;909;735;1144;110;8;206
51.9194;19.1451;;Poland;2020-03-26;1282;1097;1458;182;69;285
51.9194;19.1451;;Poland;2020-03-27;1547;1254;1785;201;72;349
39.3999;-8.2245;;Portugal;2020-03-26;3695;2967;4212;575;258;894
39.3999;-8.2245;;Portugal;2020-03-27;4337;3548;5347;580;190;989
25.3548;51.1839;;Qatar;2020-03-26;553;538;572;4;0;25
25.3548;51.1839;;Qatar;2020-03-27;570;547;595;16;0;34
45.9432;24.9668;;Romania;2020-03-26;1131;963;1312;196;82;309
45.9432;24.9668;;Romania;2020-03-27;1380;1086;1672;201;58;308
60.0;90.0;;Russia;2020-03-26;789;676;953;166;50;189
60.0;90.0;;Russia;2020-03-27;925;751;1104;152;48;266
43.9424;12.4578;;San Marino;2020-03-26;222;208;237;14;0;32
43.9424;12.4578;;San Marino;2020-03-27;234;212;255;17;0;41
24.0;45.0;;Saudi Arabia;2020-03-26;1174;978;1329;178;53;318
24.0;45.0;;Saudi Arabia;2020-03-27;1460;1157;1712;181;62;347
44.0165;21.0059;;Serbia;2020-03-26;433;410;558;77;11;128
44.0165;21.0059;;Serbia;2020-03-27;553;414;705;88;9;176
1.2833;103.8333;;Singapore;2020-03-26;723;626;817;73;29;114
1.2833;103.8333;;Singapore;2020-03-27;820;682;985;77;21;134
48.669;19.699;;Slovakia;2020-03-26;241;221;262;18;6;31
48.669;19.699;;Slovakia;2020-03-27;259;229;293;18;1;32
46.1512;14.9955;;Slovenia;2020-03-26;587;531;637;55;20;93
46.1512;14.9955;;Slovenia;2020-03-27;648;567;734;53;5;106
-30.5595;22.9375;;South Africa;2020-03-26;904;729;1076;165;66;283
-30.5595;22.9375;;South Africa;2020-03-27;1088;795;1390;214;76;358
40.0;-4.0;;Spain;2020-03-26;57411;50985;63562;8273;4662;11543
40.0;-4.0;;Spain;2020-03-27;65054;54021;75432;9276;4778;14918
7.0;81.0;;Sri Lanka;2020-03-26;118;105;128;4;0;11
7.0;81.0;;Sri Lanka;2020-03-27;127;112;144;3;0;8
63.0;16.0;;Sweden;2020-03-26;2813;2619;2992;237;102;380
63.0;16.0;;Sweden;2020-03-27;3061;2765;3385;312;157;470
46.8182;8.2275;;Switzerland;2020-03-26;13051;11820;14231;1396;784;2030
46.8182;8.2275;;Switzerland;2020-03-27;14761;12427;17090;1504;584;2088
23.7;121.0;;Taiwan*;2020-03-26;278;234;319;27;8;47
23.7;121.0;;Taiwan*;2020-03-27;310;260;367;23;0;50
15.0;101.0;;Thailand;2020-03-26;1209;1012;1404;154;59;242
15.0;101.0;;Thailand;2020-03-27;1452;1161;1799;153;48;282
34.0;9.0;;Tunisia;2020-03-26;220;163;278;37;0;71
34.0;9.0;;Tunisia;2020-03-27;261;184;333;46;0;93
38.9637;35.2433;;Turkey;2020-03-26;3326;2818;3861;570;259;979
38.9637;35.2433;;Turkey;2020-03-27;3836;3011;4649;588;136;1043
48.3794;31.1656;;Ukraine;2020-03-26;170;136;226;35;4;79
48.3794;31.1656;;Ukraine;2020-03-27;212;134;282;46;0;100
24.0;54.0;;United Arab Emirates;2020-03-26;392;319;470;71;13;124
24.0;54.0;;United Arab Emirates;2020-03-27;441;319;583;90;15;151
55.3781;-3.4360000000000004;;United Kingdom;2020-03-26;11599;10192;12925;1560;840;2324
55.3781;-3.4360000000000004;;United Kingdom;2020-03-27;13407;11406;15409;1645;529;2931
-32.5228;-55.7658;;Uruguay;2020-03-26;220;197;246;15;3;26
-32.5228;-55.7658;;Uruguay;2020-03-27;249;208;292;21;2;39
37.0902;-95.7129;;US;2020-03-26;81401;68439;93716;14006;7732;20910
37.0902;-95.7129;;US;2020-03-27;93900;77302;111126;13427;7455;20277
16.0;108.0;;Vietnam;2020-03-26;162;146;174;10;0;22
16.0;108.0;;Vietnam;2020-03-27;181;149;198;12;0;26
