Lat;Lang;Province;Country;2 Days Accuracy: Confirmed Cases;2 Days Accuracy: Active Cases;2 Days Accuracy: New Cases;5 Days Accuracy: Confirmed Cases;5 Days Accuracy: Active Cases;5 Days Accuracy: New Cases
38.9637;35.2433;;Turkey;0.5;0.55;0.75;0.2;0.18;0.9400000000000001
41.5978;-72.7554;Connecticut;US;0.55;0.6;0.05;0.66;0.6;0.05
-37.8136;144.9631;Victoria;Australia;0.6;0.6499999999999999;0.99;0.8;0.76;0.05
55.1694;23.8813;;Lithuania;0.6;0.7;0.75;0.7;0.6;0.7999999999999999
37.6681;-84.6701;Kentucky;US;0.6499999999999999;0.6499999999999999;0.6000000000000001;0.6799999999999999;0.6799999999999999;0.05
35.5653;-96.9289;Oklahoma;US;0.6499999999999999;0.7;0.05;0.58;0.52;0.6799999999999999
-32.5228;-55.7658;;Uruguay;0.6499999999999999;0.8;0.5;0.4;0.42000000000000004;0.62
18.7357;-70.1627;;Dominican Republic;0.65;0.65;0.7;0.54;0.48;0.05
28.0339;1.6596;;Algeria;0.7;0.45;0.8;0.78;0.74;0.78
32.7416;-89.6787;Mississippi;US;0.7;0.75;0.6;0.45999999999999996;0.45999999999999996;0.8400000000000001
52.9399;-106.4509;Saskatchewan;Canada;0.7;0.8;0.44999999999999996;0.6000000000000001;0.6;0.7
40.15;-111.8624;Utah;US;0.75;0.65;0.6499999999999999;0.74;0.74;0.05
31.24;36.51;;Jordan;0.75;0.7;0.05;0.58;0.43999999999999995;0.05
35.7478;-86.6923;Tennessee;US;0.75;0.75;0.6499999999999999;0.5199999999999999;0.5199999999999999;0.9799999999999999
39.8494;-86.2583;Indiana;US;0.75;0.8;0.65;0.5599999999999999;0.52;0.82
34.8405;-106.2485;New Mexico;US;0.75;0.8;0.05;0.78;0.86;0.05
33.7298;-111.4312;Arizona;US;0.75;0.8500000000000001;0.30000000000000004;0.4999999999999999;0.42000000000000004;0.9200000000000002
45.1;15.2;;Croatia;0.8;0.7;0.44999999999999996;0.7;0.6799999999999999;0.6199999999999999
16.25;-61.5833;Guadeloupe;France;0.8;0.7;0.05;0.42000000000000004;0.4999999999999999;0.64
44.0459;-72.7107;Vermont;US;0.8;0.75;0.05;0.6799999999999999;0.6799999999999999;0.05
4.5709;-74.2973;;Colombia;0.8;0.8;0.4;0.8399999999999999;0.78;0.64
43.9159;17.6791;;Bosnia and Herzegovina;0.8;0.8;0.05;0.5;0.48;0.8
26.0;30.0;;Egypt;0.8;0.8;0.05;0.86;0.9;0.05
-1.8312;-78.1834;;Ecuador;0.8;0.85;0.4;0.3;0.25999999999999995;0.9
21.0;78.0;;India;0.8;0.8500000000000001;0.35;0.8;0.7;0.5800000000000001
42.0115;-93.2105;Iowa;US;0.8;0.8500000000000001;0.55;0.5599999999999999;0.5599999999999999;0.99
39.0598;-105.3111;Colorado;US;0.8;0.8500000000000001;0.99;0.8;0.8;0.5599999999999999
61.8926;-6.9118;Faroe Islands;Denmark;0.8;0.9;0.5;0.78;0.7;0.32
-34.9285;138.6007;South Australia;Australia;0.85;0.75;0.6;0.78;0.68;0.6
-28.0167;153.4;Queensland;Australia;0.85;0.75;0.05;0.7;0.72;0.05
44.571999999999996;-122.0709;Oregon;US;0.85;0.9;0.05;0.9199999999999999;0.9;0.05
42.1657;-74.9481;New York;US;0.8500000000000001;0.8;0.35;0.4;0.43999999999999995;0.76
40.2989;-74.521;New Jersey;US;0.8500000000000001;0.8;0.5;0.48;0.47999999999999987;0.05
53.1424;-7.6921;;Ireland;0.8500000000000001;0.8;0.05;0.62;0.62;0.58
40.0691;45.0382;;Armenia;0.8500000000000001;0.8500000000000001;0.15;0.8200000000000001;0.8;0.86
35.6301;-79.8064;North Carolina;US;0.8500000000000001;0.8500000000000001;0.5;0.62;0.6;0.6599999999999999
8.538;-80.7821;;Panama;0.8500000000000001;0.8500000000000001;0.6000000000000001;0.74;0.8;0.44000000000000006
56.8796;24.6032;;Latvia;0.8500000000000001;0.8500000000000001;0.65;0.7000000000000001;0.72;0.5399999999999999
13.0;122.0;;Philippines;0.8500000000000001;0.8500000000000001;0.75;0.78;0.8399999999999999;0.9200000000000002
16.0;108.0;;Vietnam;0.8500000000000001;0.8500000000000001;0.05;0.9200000000000002;0.96;0.52
24.0;54.0;;United Arab Emirates;0.8500000000000001;0.8500000000000001;0.05;0.82;0.7600000000000001;0.58
46.2276;2.2137;France;France;0.8500000000000001;0.9;0.2;0.96;0.9400000000000001;0.38
27.7663;-81.6868;Florida;US;0.8500000000000001;0.9;0.30000000000000004;0.7000000000000001;0.62;0.5
-30.5595;22.9375;;South Africa;0.8500000000000001;0.9;0.35;0.54;0.54;0.8400000000000001
43.3266;-84.5361;Michigan;US;0.8500000000000001;0.9;0.4;0.32;0.32;0.8
31.1695;-91.8678;Louisiana;US;0.8500000000000001;0.95;0.05;0.64;0.6599999999999999;0.45999999999999996
15.0;101.0;;Thailand;0.9;0.8;0.35;0.8799999999999999;0.78;0.56
25.3548;51.1839;;Qatar;0.9;0.8500000000000001;0.2;0.7000000000000001;0.52;0.05
38.4561;-92.2884;Missouri;US;0.9;0.8500000000000001;0.30000000000000004;0.45999999999999996;0.42000000000000004;0.86
-31.9505;115.8605;Western Australia;Australia;0.9;0.8500000000000001;0.4;0.72;0.6599999999999999;0.6799999999999999
1.2833;103.8333;;Singapore;0.9;0.8500000000000001;0.95;0.9399999999999998;0.86;0.5
49.2827;-123.1207;British Columbia;Canada;0.9;0.8500000000000001;0.05;0.5399999999999999;0.5;0.05
-0.7893;113.9213;;Indonesia;0.9;0.9;0.0;0.86;0.78;0.5199999999999999
38.3135;-117.0554;Nevada;US;0.9;0.9;0.15;0.74;0.7200000000000001;0.05
58.5953;25.0136;;Estonia;0.9;0.9;0.15000000000000002;0.52;0.6799999999999999;0.05
-38.4161;-63.6167;;Argentina;0.9;0.9;0.25;0.8399999999999999;0.74;0.45999999999999996
2.5;112.5;;Malaysia;0.9;0.9;0.35;0.82;0.9;0.2
-14.235;-51.9253;;Brazil;0.9;0.9;0.4;0.74;0.72;0.62
49.8175;15.472999999999999;;Czechia;0.9;0.9;0.44999999999999996;0.86;0.86;0.41999999999999993
37.7693;-78.17;Virginia;US;0.9;0.9;0.45;0.82;0.8;0.64
40.3888;-82.7649;Ohio;US;0.9;0.9;0.55;0.72;0.6799999999999999;0.6
51.0;9.0;;Germany;0.9;0.9;0.6499999999999999;0.9199999999999999;0.86;0.4600000000000001
56.2639;9.5018;Denmark;Denmark;0.9;0.9;0.8500000000000001;0.86;0.8;0.27999999999999997
31.0545;-97.5635;Texas;US;0.9;0.9;0.05;0.5399999999999999;0.5399999999999999;0.8
33.0;44.0;;Iraq;0.9;0.9;0.05;0.99;0.96;0.36
41.1254;-98.2681;Nebraska;US;0.9;0.9;0.05;0.82;0.82;0.8
43.9424;12.4578;;San Marino;0.9;0.9;0.05;0.96;0.9400000000000001;0.05
42.7339;25.4858;;Bulgaria;0.9;0.95;0.2;0.8200000000000001;0.86;0.05
24.0;45.0;;Saudi Arabia;0.9;0.95;0.25;0.8;0.7200000000000001;0.05
42.5063;1.5218;;Andorra;0.9;0.95;0.3;0.45999999999999996;0.42000000000000004;0.05
53.9333;-116.5765;Alberta;Canada;0.9;0.95;0.4;0.76;0.76;0.41999999999999993
23.7;121.0;;Taiwan*;0.9;0.95;0.4;0.82;0.6799999999999999;0.5
63.0;16.0;;Sweden;0.9;0.95;0.8;0.8800000000000001;0.8799999999999999;0.4
30.3753;69.3451;;Pakistan;0.9;0.95;0.05;0.78;0.62;0.38
47.5162;14.5501;;Austria;0.9;0.99;0.05;0.96;0.8799999999999999;0.13999999999999999
60.0;90.0;;Russia;0.9;0.99;0.05;0.8200000000000001;0.72;0.52
-35.6751;-71.543;;Chile;0.9;0.99;0.1;0.72;0.8;0.05
31.7917;-7.0926;;Morocco;0.9;0.99;0.1;0.8;0.76;0.5800000000000001
36.1162;-119.6816;California;US;0.9;0.99;0.1;0.9;0.9400000000000001;0.4
43.4525;-71.5639;New Hampshire;US;0.9;0.99;0.1;0.8400000000000001;0.8400000000000001;0.05
38.5266;-96.7265;Kansas;US;0.95;0.85;0.75;0.6;0.64;0.05
40.5908;-77.2098;Pennsylvania;US;0.95;0.8500000000000001;0.1;0.66;0.58;0.6799999999999999
26.0275;50.55;;Bahrain;0.95;0.8500000000000001;0.2;0.8800000000000001;0.8400000000000001;0.8800000000000001
31.0;35.0;;Israel;0.95;0.9;0.05;0.7400000000000001;0.7000000000000001;0.72
64.9631;-19.0208;;Iceland;0.95;0.9;0.15000000000000002;0.78;0.76;0.54
41.6086;21.7453;;North Macedonia;0.95;0.9;0.15000000000000002;0.62;0.5599999999999999;0.7999999999999999
44.6939;-69.3819;Maine;US;0.95;0.9;0.15000000000000002;0.76;0.64;0.38
47.1625;19.5033;;Hungary;0.95;0.9;0.3;0.9199999999999999;0.82;0.6399999999999999
33.8547;35.8623;;Lebanon;0.95;0.9;0.35;0.9;0.86;0.5
45.9432;24.9668;;Romania;0.95;0.9;0.4;0.9400000000000001;0.96;0.6
40.3495;-88.9861;Illinois;US;0.95;0.95;0.25;0.5199999999999999;0.45999999999999996;0.05
47.4009;-121.4905;Washington;US;0.95;0.95;0.25;0.8200000000000001;0.86;0.05
44.0165;21.0059;;Serbia;0.95;0.95;0.30000000000000004;0.76;0.8;0.7
50.8333;4.0;;Belgium;0.95;0.95;0.35;0.9199999999999999;0.9400000000000001;0.4
-9.19;-75.0152;;Peru;0.95;0.95;0.35;0.76;0.8400000000000001;0.05
9.7489;-83.7534;;Costa Rica;0.95;0.95;0.45;0.7200000000000001;0.64;0.7200000000000001
55.3781;-3.4360000000000004;United Kingdom;United Kingdom;0.95;0.95;0.6;0.8200000000000001;0.8;0.05
38.8974;-77.0268;District of Columbia;US;0.95;0.95;0.9;0.5199999999999999;0.5399999999999999;0.8400000000000001
