Lat;Lang;Province;Country;Date;Forecast Confirmed Cases;Forecast Confirmed Cases Upper Bound;Forecast Confirmed Cases Lower Bound;Forecast New Cases;Forecast New Cases Upper Bound;Forecast New Cases Lower Bound
-34.9285;138.6007;South Australia;Australia;2020-03-28;321;409;173;34;95;0
-34.9285;138.6007;South Australia;Australia;2020-03-29;363;511;185;39;94;0
-34.9285;138.6007;South Australia;Australia;2020-03-30;428;655;188;38;102;0
-37.8136;144.9631;Victoria;Australia;2020-03-26;563;632;489;68;140;17
-37.8136;144.9631;Victoria;Australia;2020-03-27;652;799;513;91;171;0
-37.8136;144.9631;Victoria;Australia;2020-03-28;779;1020;552;90;226;0
-37.8136;144.9631;Victoria;Australia;2020-03-29;928;1262;604;94;222;0
-37.8136;144.9631;Victoria;Australia;2020-03-30;1095;1645;649;125;232;0
-31.9505;115.8605;Western Australia;Australia;2020-03-26;209;241;181;25;65;0
-31.9505;115.8605;Western Australia;Australia;2020-03-27;246;299;195;28;63;0
-31.9505;115.8605;Western Australia;Australia;2020-03-28;296;393;199;33;88;0
-31.9505;115.8605;Western Australia;Australia;2020-03-29;345;497;212;36;103;0
-31.9505;115.8605;Western Australia;Australia;2020-03-30;403;606;221;34;100;0
47.5162;14.5501;;Austria;2020-03-26;6582;7573;5700;945;1515;385
47.5162;14.5501;;Austria;2020-03-27;7967;9543;5998;917;1479;439
47.5162;14.5501;;Austria;2020-03-28;8796;11604;5518;1068;1654;218
47.5162;14.5501;;Austria;2020-03-29;10303;13836;5798;1189;1883;189
47.5162;14.5501;;Austria;2020-03-30;11339;16192;5914;1118;1951;148
26.0275;50.55;;Bahrain;2020-03-26;466;498;424;33;71;2
26.0275;50.55;;Bahrain;2020-03-27;512;577;439;37;63;9
26.0275;50.55;;Bahrain;2020-03-28;564;679;451;43;83;0
26.0275;50.55;;Bahrain;2020-03-29;629;785;475;41;98;0
26.0275;50.55;;Bahrain;2020-03-30;702;932;507;39;93;0
50.8333;4.0;;Belgium;2020-03-26;6013;6466;5129;769;1151;402
50.8333;4.0;;Belgium;2020-03-27;6818;8249;5563;826;1275;443
50.8333;4.0;;Belgium;2020-03-28;8237;10103;6295;940;1506;271
50.8333;4.0;;Belgium;2020-03-29;9382;11892;6755;1254;1819;218
50.8333;4.0;;Belgium;2020-03-30;10796;14581;7387;1140;1713;348
43.9159;17.6791;;Bosnia and Herzegovina;2020-03-26;202;225;179;29;51;0
43.9159;17.6791;;Bosnia and Herzegovina;2020-03-27;243;290;177;24;54;0
43.9159;17.6791;;Bosnia and Herzegovina;2020-03-28;258;359;184;25;63;0
43.9159;17.6791;;Bosnia and Herzegovina;2020-03-29;326;462;195;20;73;0
43.9159;17.6791;;Bosnia and Herzegovina;2020-03-30;382;562;195;30;76;0
-14.235;-51.9253;;Brazil;2020-03-26;3142;3600;2690;496;801;177
-14.235;-51.9253;;Brazil;2020-03-27;3659;4466;2865;530;901;195
-14.235;-51.9253;;Brazil;2020-03-28;4389;5654;3336;566;1095;62
-14.235;-51.9253;;Brazil;2020-03-29;5204;6942;3694;726;1153;43
-14.235;-51.9253;;Brazil;2020-03-30;5950;8365;3993;931;1201;98
4.5353;114.7277;;Brunei;2020-03-26;119;128;108;4;13;0
4.5353;114.7277;;Brunei;2020-03-27;130;148;112;6;16;0
4.5353;114.7277;;Brunei;2020-03-28;142;170;116;4;14;0
4.5353;114.7277;;Brunei;2020-03-29;152;183;119;4;19;0
4.5353;114.7277;;Brunei;2020-03-30;165;212;120;4;16;0
42.7339;25.4858;;Bulgaria;2020-03-26;280;317;236;33;65;2
42.7339;25.4858;;Bulgaria;2020-03-27;315;370;254;27;60;0
42.7339;25.4858;;Bulgaria;2020-03-28;364;451;266;38;73;1
42.7339;25.4858;;Bulgaria;2020-03-29;421;561;286;32;76;0
42.7339;25.4858;;Bulgaria;2020-03-30;494;704;317;42;80;0
12.2383;-1.5616;;Burkina Faso;2020-03-26;175;205;149;28;64;0
12.2383;-1.5616;;Burkina Faso;2020-03-27;213;265;162;35;75;0
12.2383;-1.5616;;Burkina Faso;2020-03-28;266;360;169;35;89;0
12.2383;-1.5616;;Burkina Faso;2020-03-29;326;478;171;28;105;0
12.2383;-1.5616;;Burkina Faso;2020-03-30;366;545;171;41;113;0
53.9333;-116.5765;Alberta;Canada;2020-03-26;418;478;371;53;108;0
53.9333;-116.5765;Alberta;Canada;2020-03-27;474;570;387;55;107;0
53.9333;-116.5765;Alberta;Canada;2020-03-28;563;736;408;54;117;0
53.9333;-116.5765;Alberta;Canada;2020-03-29;665;939;438;73;179;0
53.9333;-116.5765;Alberta;Canada;2020-03-30;782;1132;460;72;148;0
49.2827;-123.1207;British Columbia;Canada;2020-03-26;734;817;657;106;197;0
49.2827;-123.1207;British Columbia;Canada;2020-03-27;839;1029;682;79;165;0
49.2827;-123.1207;British Columbia;Canada;2020-03-28;1002;1276;762;83;176;0
49.2827;-123.1207;British Columbia;Canada;2020-03-29;1186;1598;812;109;196;0
49.2827;-123.1207;British Columbia;Canada;2020-03-30;1393;1946;824;109;248;0
44.682;-63.7443;Nova Scotia;Canada;2020-03-26;83;107;66;15;32;1
44.682;-63.7443;Nova Scotia;Canada;2020-03-27;107;143;71;18;41;0
44.682;-63.7443;Nova Scotia;Canada;2020-03-28;131;197;67;26;61;0
44.682;-63.7443;Nova Scotia;Canada;2020-03-29;144;266;67;15;52;0
44.682;-63.7443;Nova Scotia;Canada;2020-03-30;169;285;53;21;53;0
51.2538;-85.3232;Ontario;Canada;2020-03-26;814;900;697;119;199;52
51.2538;-85.3232;Ontario;Canada;2020-03-27;1001;1153;790;137;223;48
51.2538;-85.3232;Ontario;Canada;2020-03-28;1184;1526;841;168;325;22
51.2538;-85.3232;Ontario;Canada;2020-03-29;1402;1950;947;164;369;0
51.2538;-85.3232;Ontario;Canada;2020-03-30;1677;2417;1068;175;392;0
52.9399;-73.5491;Quebec;Canada;2020-03-26;1814;2478;1140;382;662;142
52.9399;-73.5491;Quebec;Canada;2020-03-27;2037;3384;1062;366;612;158
52.9399;-73.5491;Quebec;Canada;2020-03-28;2520;4282;907;434;791;74
52.9399;-73.5491;Quebec;Canada;2020-03-29;3431;4559;969;499;941;66
52.9399;-73.5491;Quebec;Canada;2020-03-30;4473;4819;826;469;1116;0
52.9399;-106.4509;Saskatchewan;Canada;2020-03-26;86;103;70;22;26;0
52.9399;-106.4509;Saskatchewan;Canada;2020-03-27;97;127;72;13;33;0
52.9399;-106.4509;Saskatchewan;Canada;2020-03-28;118;163;76;14;37;0
52.9399;-106.4509;Saskatchewan;Canada;2020-03-29;144;207;78;15;49;0
52.9399;-106.4509;Saskatchewan;Canada;2020-03-30;154;245;78;16;44;0
-35.6751;-71.543;;Chile;2020-03-26;1425;1611;1212;225;361;86
-35.6751;-71.543;;Chile;2020-03-27;1710;2197;1239;249;480;77
-35.6751;-71.543;;Chile;2020-03-28;2052;2834;1323;273;512;36
-35.6751;-71.543;;Chile;2020-03-29;2564;3920;1492;286;673;0
-35.6751;-71.543;;Chile;2020-03-30;2987;4136;1511;265;597;0
4.5709;-74.2973;;Colombia;2020-03-26;575;698;469;113;216;18
4.5709;-74.2973;;Colombia;2020-03-27;706;925;505;131;238;34
4.5709;-74.2973;;Colombia;2020-03-28;907;1276;536;122;235;0
4.5709;-74.2973;;Colombia;2020-03-29;1035;1457;526;141;312;0
4.5709;-74.2973;;Colombia;2020-03-30;1173;1878;541;143;362;0
9.7489;-83.7534;;Costa Rica;2020-03-26;239;268;203;32;64;0
9.7489;-83.7534;;Costa Rica;2020-03-27;278;343;219;27;62;0
9.7489;-83.7534;;Costa Rica;2020-03-28;302;427;233;41;78;0
9.7489;-83.7534;;Costa Rica;2020-03-29;381;570;246;41;97;0
9.7489;-83.7534;;Costa Rica;2020-03-30;444;680;258;43;110;0
45.1;15.2;;Croatia;2020-03-26;506;635;434;87;167;17
45.1;15.2;;Croatia;2020-03-27;629;827;439;97;182;0
45.1;15.2;;Croatia;2020-03-28;808;1148;480;126;238;1
45.1;15.2;;Croatia;2020-03-29;935;1402;496;116;253;0
45.1;15.2;;Croatia;2020-03-30;1074;1660;498;152;313;0
35.1264;33.4299;;Cyprus;2020-03-26;149;171;132;19;33;0
35.1264;33.4299;;Cyprus;2020-03-27;168;197;140;18;38;0
35.1264;33.4299;;Cyprus;2020-03-28;191;244;151;18;45;0
35.1264;33.4299;;Cyprus;2020-03-29;217;289;151;24;58;0
35.1264;33.4299;;Cyprus;2020-03-30;248;351;162;15;47;0
49.8175;15.473;;Czechia;2020-03-26;1902;2145;1712;244;411;114
49.8175;15.473;;Czechia;2020-03-27;2228;2665;1893;274;416;86
49.8175;15.473;;Czechia;2020-03-28;2593;3222;2069;306;491;142
49.8175;15.473;;Czechia;2020-03-29;3040;3952;2288;365;523;55
49.8175;15.473;;Czechia;2020-03-30;3520;4754;2496;316;588;75
61.8926;-6.9118;Faroe Islands;Denmark;2020-03-26;146;161;133;11;20;1
61.8926;-6.9118;Faroe Islands;Denmark;2020-03-27;164;188;141;11;25;0
61.8926;-6.9118;Faroe Islands;Denmark;2020-03-28;187;228;150;11;32;0
61.8926;-6.9118;Faroe Islands;Denmark;2020-03-29;216;273;154;12;29;0
61.8926;-6.9118;Faroe Islands;Denmark;2020-03-30;247;329;153;12;29;0
56.2639;9.5018;;Denmark;2020-03-26;1857;1986;1749;90;170;23
56.2639;9.5018;;Denmark;2020-03-27;1999;2213;1795;109;199;3
56.2639;9.5018;;Denmark;2020-03-28;2165;2465;1868;125;224;0
56.2639;9.5018;;Denmark;2020-03-29;2371;2809;1942;150;275;0
56.2639;9.5018;;Denmark;2020-03-30;2537;3174;1925;150;292;0
18.7357;-70.1627;;Dominican Republic;2020-03-26;481;582;384;96;168;24
18.7357;-70.1627;;Dominican Republic;2020-03-27;576;804;360;116;218;18
18.7357;-70.1627;;Dominican Republic;2020-03-28;715;1090;402;136;298;2
18.7357;-70.1627;;Dominican Republic;2020-03-29;809;1341;411;142;321;0
18.7357;-70.1627;;Dominican Republic;2020-03-30;981;1544;394;139;311;0
-1.8312;-78.1834;;Ecuador;2020-03-26;1440;1685;1208;208;401;0
-1.8312;-78.1834;;Ecuador;2020-03-27;1738;2107;1282;218;407;44
-1.8312;-78.1834;;Ecuador;2020-03-28;2055;2658;1359;247;459;9
-1.8312;-78.1834;;Ecuador;2020-03-29;2411;3328;1439;321;598;0
-1.8312;-78.1834;;Ecuador;2020-03-30;2805;4098;1574;276;515;0
26.0;30.0;;Egypt;2020-03-26;507;556;460;47;82;20
26.0;30.0;;Egypt;2020-03-27;581;653;497;60;100;22
26.0;30.0;;Egypt;2020-03-28;655;790;485;73;129;9
26.0;30.0;;Egypt;2020-03-29;694;938;481;57;162;0
26.0;30.0;;Egypt;2020-03-30;837;1145;491;66;141;0
58.5953;25.0136;;Estonia;2020-03-26;443;475;407;31;43;14
58.5953;25.0136;;Estonia;2020-03-27;483;552;421;28;54;0
58.5953;25.0136;;Estonia;2020-03-28;529;633;426;25;59;0
58.5953;25.0136;;Estonia;2020-03-29;585;744;448;29;64;0
58.5953;25.0136;;Estonia;2020-03-30;643;862;456;30;76;0
64.0;26.0;;Finland;2020-03-26;990;1094;894;116;199;29
64.0;26.0;;Finland;2020-03-27;1135;1364;916;117;230;22
64.0;26.0;;Finland;2020-03-28;1323;1649;944;110;256;0
64.0;26.0;;Finland;2020-03-29;1507;2015;977;152;342;0
64.0;26.0;;Finland;2020-03-30;1718;2446;995;165;357;0
16.25;-61.5833;Guadeloupe;France;2020-03-26;81;92;69;9;13;0
16.25;-61.5833;Guadeloupe;France;2020-03-27;92;109;76;8;20;0
16.25;-61.5833;Guadeloupe;France;2020-03-28;102;128;77;8;17;0
16.25;-61.5833;Guadeloupe;France;2020-03-29;117;152;81;6;20;0
16.25;-61.5833;Guadeloupe;France;2020-03-30;133;191;83;7;20;0
-21.1351;55.2471;Reunion;France;2020-03-26;131;158;109;25;50;1
-21.1351;55.2471;Reunion;France;2020-03-27;166;217;114;31;70;0
-21.1351;55.2471;Reunion;France;2020-03-28;206;305;120;27;71;0
-21.1351;55.2471;Reunion;France;2020-03-29;258;416;118;33;97;0
-21.1351;55.2471;Reunion;France;2020-03-30;284;444;112;26;78;0
14.6415;-61.0242;Martinique;France;2020-03-26;77;92;68;10;19;0
14.6415;-61.0242;Martinique;France;2020-03-27;89;113;72;13;28;0
14.6415;-61.0242;Martinique;France;2020-03-28;111;146;78;12;35;0
14.6415;-61.0242;Martinique;France;2020-03-29;128;178;86;12;35;0
14.6415;-61.0242;Martinique;France;2020-03-30;148;216;90;8;34;0
46.2276;2.2137;;France;2020-03-26;29266;33054;26328;3372;5210;1632
46.2276;2.2137;;France;2020-03-27;34407;39818;28796;3724;5279;1501
46.2276;2.2137;;France;2020-03-28;39570;47613;31752;4087;6584;1634
46.2276;2.2137;;France;2020-03-29;45662;56526;34695;4481;6610;1970
46.2276;2.2137;;France;2020-03-30;50485;64140;37327;4800;7495;1766
51.0;9.0;;Germany;2020-03-26;44391;48568;40618;5088;7055;3169
51.0;9.0;;Germany;2020-03-27;52297;59001;45266;5053;7361;3528
51.0;9.0;;Germany;2020-03-28;61233;70517;50717;5656;7800;3228
51.0;9.0;;Germany;2020-03-29;69489;81533;55800;6074;8774;2996
51.0;9.0;;Germany;2020-03-30;76506;90016;57914;6422;9383;3930
39.0742;21.8243;;Greece;2020-03-26;914;1011;820;79;135;28
39.0742;21.8243;;Greece;2020-03-27;1011;1184;845;84;166;11
39.0742;21.8243;;Greece;2020-03-28;1135;1390;886;95;168;0
39.0742;21.8243;;Greece;2020-03-29;1291;1650;932;96;217;0
39.0742;21.8243;;Greece;2020-03-30;1464;1956;993;96;217;0
47.1625;19.5033;;Hungary;2020-03-26;270;307;232;43;77;1
47.1625;19.5033;;Hungary;2020-03-27;323;397;250;53;98;0
47.1625;19.5033;;Hungary;2020-03-28;388;527;271;47;135;0
47.1625;19.5033;;Hungary;2020-03-29;475;667;300;51;139;0
47.1625;19.5033;;Hungary;2020-03-30;585;830;322;39;125;0
64.9631;-19.0208;;Iceland;2020-03-26;837;942;740;78;142;20
64.9631;-19.0208;;Iceland;2020-03-27;960;1102;770;100;187;13
64.9631;-19.0208;;Iceland;2020-03-28;1100;1340;843;104;178;18
64.9631;-19.0208;;Iceland;2020-03-29;1298;1697;885;109;210;0
64.9631;-19.0208;;Iceland;2020-03-30;1472;1972;954;107;211;2
21.0;78.0;;India;2020-03-26;783;899;652;115;206;23
21.0;78.0;;India;2020-03-27;933;1137;702;137;253;13
21.0;78.0;;India;2020-03-28;1114;1499;730;164;321;0
21.0;78.0;;India;2020-03-29;1274;1847;756;181;405;0
21.0;78.0;;India;2020-03-30;1487;2197;817;158;365;0
-0.7893;113.9213;;Indonesia;2020-03-26;922;1027;811;125;211;41
-0.7893;113.9213;;Indonesia;2020-03-27;1104;1278;885;160;222;56
-0.7893;113.9213;;Indonesia;2020-03-28;1306;1613;974;175;328;45
-0.7893;113.9213;;Indonesia;2020-03-29;1565;2046;1056;181;332;30
-0.7893;113.9213;;Indonesia;2020-03-30;1818;2413;1140;219;380;0
32.0;53.0;;Iran;2020-03-26;28962;31100;26414;2051;2860;1314
32.0;53.0;;Iran;2020-03-27;31727;35693;28445;2159;3107;1103
32.0;53.0;;Iran;2020-03-28;35735;40902;29877;2547;3583;998
32.0;53.0;;Iran;2020-03-29;39207;46444;32198;2478;3635;1222
32.0;53.0;;Iran;2020-03-30;42197;51036;33316;2488;3581;1293
33.0;44.0;;Iraq;2020-03-26;388;428;350;38;71;6
33.0;44.0;;Iraq;2020-03-27;436;517;368;42;90;0
33.0;44.0;;Iraq;2020-03-28;494;612;370;57;106;0
33.0;44.0;;Iraq;2020-03-29;573;747;388;51;118;0
33.0;44.0;;Iraq;2020-03-30;660;953;388;51;115;0
53.1424;-7.6921;;Ireland;2020-03-26;1886;2095;1668;253;466;90
53.1424;-7.6921;;Ireland;2020-03-27;2230;2679;1731;305;479;102
53.1424;-7.6921;;Ireland;2020-03-28;2641;3358;1918;324;614;76
53.1424;-7.6921;;Ireland;2020-03-29;3198;4249;2092;314;654;0
53.1424;-7.6921;;Ireland;2020-03-30;3754;5135;2273;355;685;0
31.0;35.0;;Israel;2020-03-26;2884;3519;2333;451;796;105
31.0;35.0;;Israel;2020-03-27;3669;4852;2523;734;1167;218
31.0;35.0;;Israel;2020-03-28;4461;6178;2506;830;1401;244
31.0;35.0;;Israel;2020-03-29;5082;7805;2689;719;1321;92
31.0;35.0;;Israel;2020-03-30;5810;8038;2950;671;1490;18
43.0;12.0;;Italy;2020-03-26;86216;94216;78712;6533;9264;4331
43.0;12.0;;Italy;2020-03-27;98422;110531;85957;6546;9432;2748
43.0;12.0;;Italy;2020-03-28;110412;133951;92024;7138;10047;3719
43.0;12.0;;Italy;2020-03-29;124020;150801;98734;7494;10794;3830
43.0;12.0;;Italy;2020-03-30;136490;170440;103387;7831;11207;4273
36.0;138.0;;Japan;2020-03-26;1405;1497;1296;89;150;34
36.0;138.0;;Japan;2020-03-27;1532;1717;1327;110;195;26
36.0;138.0;;Japan;2020-03-28;1721;2000;1422;103;192;18
36.0;138.0;;Japan;2020-03-29;1915;2410;1464;117;284;0
36.0;138.0;;Japan;2020-03-30;2131;2785;1523;128;229;2
31.24;36.51;;Jordan;2020-03-26;198;230;167;28;50;2
31.24;36.51;;Jordan;2020-03-27;231;290;175;31;55;5
31.24;36.51;;Jordan;2020-03-28;273;359;191;28;62;0
31.24;36.51;;Jordan;2020-03-29;325;450;208;33;88;0
31.24;36.51;;Jordan;2020-03-30;391;588;212;26;83;0
36.0;128.0;;Korea, South;2020-03-26;9119;9557;8706;44;177;0
36.0;128.0;;Korea, South;2020-03-27;9275;10045;8627;51;211;0
36.0;128.0;;Korea, South;2020-03-28;9620;10329;8590;62;276;0
36.0;128.0;;Korea, South;2020-03-29;9981;11480;8619;42;208;0
36.0;128.0;;Korea, South;2020-03-30;10236;11792;8618;48;238;0
29.5;47.75;;Kuwait;2020-03-26;209;227;195;6;17;0
29.5;47.75;;Kuwait;2020-03-27;221;251;197;5;14;0
29.5;47.75;;Kuwait;2020-03-28;240;284;203;6;18;0
29.5;47.75;;Kuwait;2020-03-29;263;322;208;8;20;0
29.5;47.75;;Kuwait;2020-03-30;282;374;212;8;19;0
56.8796;24.6032;;Latvia;2020-03-26;252;283;220;35;62;6
56.8796;24.6032;;Latvia;2020-03-27;296;362;233;32;64;0
56.8796;24.6032;;Latvia;2020-03-28;353;453;245;32;68;0
56.8796;24.6032;;Latvia;2020-03-29;413;584;262;39;94;0
56.8796;24.6032;;Latvia;2020-03-30;496;744;262;34;78;0
33.8547;35.8623;;Lebanon;2020-03-26;386;427;350;43;86;0
33.8547;35.8623;;Lebanon;2020-03-27;448;534;367;50;97;0
33.8547;35.8623;;Lebanon;2020-03-28;522;643;390;46;110;0
33.8547;35.8623;;Lebanon;2020-03-29;605;796;429;48;124;0
33.8547;35.8623;;Lebanon;2020-03-30;701;977;442;40;129;0
55.1694;23.8813;;Lithuania;2020-03-26;341;412;260;73;132;13
55.1694;23.8813;;Lithuania;2020-03-27;416;555;267;58;130;0
55.1694;23.8813;;Lithuania;2020-03-28;524;762;268;74;165;0
55.1694;23.8813;;Lithuania;2020-03-29;622;952;258;83;244;0
55.1694;23.8813;;Lithuania;2020-03-30;749;1102;273;76;216;0
49.8153;6.1296;;Luxembourg;2020-03-26;1587;1808;1363;246;460;65
49.8153;6.1296;;Luxembourg;2020-03-27;1936;2364;1509;270;490;17
49.8153;6.1296;;Luxembourg;2020-03-28;2378;3053;1713;261;645;0
49.8153;6.1296;;Luxembourg;2020-03-29;2911;3946;1839;325;638;0
49.8153;6.1296;;Luxembourg;2020-03-30;3416;4780;1916;376;756;0
2.5;112.5;;Malaysia;2020-03-26;2046;2268;1841;227;332;119
2.5;112.5;;Malaysia;2020-03-27;2366;2747;1981;228;367;92
2.5;112.5;;Malaysia;2020-03-28;2687;3356;2098;240;433;83
2.5;112.5;;Malaysia;2020-03-29;3078;4091;2276;263;481;37
2.5;112.5;;Malaysia;2020-03-30;3502;4905;2292;298;605;31
35.9375;14.3754;;Malta;2020-03-26;155;166;132;17;32;1
35.9375;14.3754;;Malta;2020-03-27;173;217;137;23;44;0
35.9375;14.3754;;Malta;2020-03-28;200;259;144;21;53;0
35.9375;14.3754;;Malta;2020-03-29;236;330;143;19;64;0
35.9375;14.3754;;Malta;2020-03-30;254;403;137;21;59;0
23.6345;-102.5528;;Mexico;2020-03-26;487;556;427;75;156;6
23.6345;-102.5528;;Mexico;2020-03-27;587;699;462;77;148;7
23.6345;-102.5528;;Mexico;2020-03-28;692;870;481;76;170;0
23.6345;-102.5528;;Mexico;2020-03-29;841;1116;532;97;231;0
23.6345;-102.5528;;Mexico;2020-03-30;960;1415;571;88;204;0
47.4116;28.3699;;Moldova;2020-03-26;173;202;146;26;52;0
47.4116;28.3699;;Moldova;2020-03-27;211;257;156;25;57;0
47.4116;28.3699;;Moldova;2020-03-28;247;335;167;27;74;0
47.4116;28.3699;;Moldova;2020-03-29;290;430;172;36;78;0
47.4116;28.3699;;Moldova;2020-03-30;345;507;176;33;79;0
31.7917;-7.0926;;Morocco;2020-03-26;275;313;229;40;86;2
31.7917;-7.0926;;Morocco;2020-03-27;337;411;243;49;104;0
31.7917;-7.0926;;Morocco;2020-03-28;429;592;260;48;128;0
31.7917;-7.0926;;Morocco;2020-03-29;539;719;267;64;165;0
31.7917;-7.0926;;Morocco;2020-03-30;570;870;297;33;133;0
52.1326;5.2913;;Netherlands;2020-03-26;7242;8530;6540;948;1435;433
52.1326;5.2913;;Netherlands;2020-03-27;8689;10329;6871;1102;1687;366
52.1326;5.2913;;Netherlands;2020-03-28;10079;12451;7730;1210;1843;625
52.1326;5.2913;;Netherlands;2020-03-29;11572;14833;8198;1350;2093;684
52.1326;5.2913;;Netherlands;2020-03-30;13187;17494;8708;1317;2214;335
-40.9006;174.886;;New Zealand;2020-03-26;260;318;204;48;89;2
-40.9006;174.886;;New Zealand;2020-03-27;330;458;200;62;117;4
-40.9006;174.886;;New Zealand;2020-03-28;406;594;212;52;132;0
-40.9006;174.886;;New Zealand;2020-03-29;488;738;229;53;154;0
-40.9006;174.886;;New Zealand;2020-03-30;542;836;252;66;185;0
41.6086;21.7453;;North Macedonia;2020-03-26;207;245;174;32;65;4
41.6086;21.7453;;North Macedonia;2020-03-27;253;301;188;29;69;0
41.6086;21.7453;;North Macedonia;2020-03-28;283;388;197;42;92;0
41.6086;21.7453;;North Macedonia;2020-03-29;343;493;196;45;96;0
41.6086;21.7453;;North Macedonia;2020-03-30;403;607;201;46;115;0
60.472;8.4689;;Norway;2020-03-26;3452;3725;3165;285;483;115
60.472;8.4689;;Norway;2020-03-27;3880;4397;3273;318;536;65
60.472;8.4689;;Norway;2020-03-28;4381;5296;3510;339;556;68
60.472;8.4689;;Norway;2020-03-29;4981;6194;3875;367;650;0
60.472;8.4689;;Norway;2020-03-30;5575;7215;3912;435;720;71
30.3753;69.3451;;Pakistan;2020-03-26;1220;1379;1085;124;237;35
30.3753;69.3451;;Pakistan;2020-03-27;1414;1712;1167;147;239;28
30.3753;69.3451;;Pakistan;2020-03-28;1656;2147;1245;192;336;18
30.3753;69.3451;;Pakistan;2020-03-29;1885;2626;1320;185;315;2
30.3753;69.3451;;Pakistan;2020-03-30;2161;3070;1385;152;329;0
8.538;-80.7821;;Panama;2020-03-26;529;606;455;79;129;21
8.538;-80.7821;;Panama;2020-03-27;617;759;464;98;189;14
8.538;-80.7821;;Panama;2020-03-28;738;964;494;120;239;1
8.538;-80.7821;;Panama;2020-03-29;888;1236;534;107;247;0
8.538;-80.7821;;Panama;2020-03-30;1046;1483;569;135;273;0
-9.19;-75.0152;;Peru;2020-03-26;557;638;485;62;116;17
-9.19;-75.0152;;Peru;2020-03-27;630;763;499;58;109;20
-9.19;-75.0152;;Peru;2020-03-28;721;899;525;66;150;0
-9.19;-75.0152;;Peru;2020-03-29;837;1142;566;80;152;0
-9.19;-75.0152;;Peru;2020-03-30;963;1369;596;88;174;0
13.0;122.0;;Philippines;2020-03-26;755;867;646;131;229;25
13.0;122.0;;Philippines;2020-03-27;905;1099;750;149;240;46
13.0;122.0;;Philippines;2020-03-28;1114;1404;778;153;309;0
13.0;122.0;;Philippines;2020-03-29;1360;1829;814;183;364;0
13.0;122.0;;Philippines;2020-03-30;1570;2232;869;172;359;0
51.9194;19.1451;;Poland;2020-03-26;1264;1469;1075;356;332;78
51.9194;19.1451;;Poland;2020-03-27;1515;1855;1155;186;358;39
51.9194;19.1451;;Poland;2020-03-28;1801;2378;1339;233;433;0
51.9194;19.1451;;Poland;2020-03-29;2171;3069;1435;257;547;0
