Lat;Lang;Province;Country;Date;Forecast Confirmed Cases;Forecast Confirmed Cases Upper Bound;Forecast Confirmed Cases Lower Bound;Forecast New Cases;Forecast New Cases Upper Bound;Forecast New Cases Lower Bound
41.1533;20.1683;;Albania;2020-03-26;170;190;150;26;45;0
41.1533;20.1683;;Albania;2020-03-27;195;237;151;28;61;0
41.1533;20.1683;;Albania;2020-03-28;232;296;165;28;75;0
41.1533;20.1683;;Albania;2020-03-29;276;404;170;28;80;0
41.1533;20.1683;;Albania;2020-03-30;331;509;175;27;91;0
28.0339;1.6596;;Algeria;2020-03-26;365;419;299;54;96;5
28.0339;1.6596;;Algeria;2020-03-27;444;550;326;67;134;10
28.0339;1.6596;;Algeria;2020-03-28;524;714;330;69;145;0
28.0339;1.6596;;Algeria;2020-03-29;640;912;352;70;156;0
28.0339;1.6596;;Algeria;2020-03-30;748;1071;342;67;157;0
42.5063;1.5218;;Andorra;2020-03-26;224;260;199;38;74;5
42.5063;1.5218;;Andorra;2020-03-27;264;339;197;30;74;0
42.5063;1.5218;;Andorra;2020-03-28;326;444;227;38;92;0
42.5063;1.5218;;Andorra;2020-03-29;397;576;237;46;125;0
42.5063;1.5218;;Andorra;2020-03-30;462;706;253;36;106;0
-38.4161;-63.6167;;Argentina;2020-03-26;458;534;388;41;110;0
-38.4161;-63.6167;;Argentina;2020-03-27;552;674;423;75;139;0
-38.4161;-63.6167;;Argentina;2020-03-28;660;853;455;56;151;0
-38.4161;-63.6167;;Argentina;2020-03-29;791;1032;466;76;186;0
-38.4161;-63.6167;;Argentina;2020-03-30;907;1229;479;83;186;0
40.0691;45.0382;;Armenia;2020-03-26;301;345;260;35;67;8
40.0691;45.0382;;Armenia;2020-03-27;343;425;264;34;64;0
40.0691;45.0382;;Armenia;2020-03-28;395;531;271;39;87;0
40.0691;45.0382;;Armenia;2020-03-29;457;638;283;37;94;0
40.0691;45.0382;;Armenia;2020-03-30;532;794;287;43;90;0
-33.8688;151.2093;New South Wales;Australia;2020-03-26;1205;1404;1044;175;339;49
-33.8688;151.2093;New South Wales;Australia;2020-03-27;1466;1767;1130;214;419;8
-33.8688;151.2093;New South Wales;Australia;2020-03-28;1790;2296;1247;225;478;1
-33.8688;151.2093;New South Wales;Australia;2020-03-29;2153;2963;1336;243;545;0
-33.8688;151.2093;New South Wales;Australia;2020-03-30;2563;3599;1425;254;491;0
-28.0167;153.4;Queensland;Australia;2020-03-26;525;598;451;77;170;18
-28.0167;153.4;Queensland;Australia;2020-03-27;625;795;464;83;145;14
-28.0167;153.4;Queensland;Australia;2020-03-28;797;1042;526;95;179;0
-28.0167;153.4;Queensland;Australia;2020-03-29;920;1315;510;103;236;0
-28.0167;153.4;Queensland;Australia;2020-03-30;1090;1579;544;82;226;0
-34.9285;138.6007;South Australia;Australia;2020-03-26;202;242;163;36;76;0
-34.9285;138.6007;South Australia;Australia;2020-03-27;249;326;168;33;67;0
