Lat;Lang;Province;Country;Date;Forecast Confirmed Cases;Forecast Confirmed Cases Upper Bound;Forecast Confirmed Cases Lower Bound;Forecast Active Cases;Forecast Active Cases Upper Bound;Forecast Active Cases Lower Bound;Forecast New Cases;Forecast New Cases Upper Bound;Forecast New Cases Lower Bound
43.0;12.0;;Italy;2020-03-26;90599;58943;123604;63975;39228;87698;8328;2131;12898
43.0;12.0;;Italy;2020-03-27;103171;60104;146386;64268;37653;94198;8262;3182;12970
63.0;16.0;;Sweden;2020-03-23;2077;1818;2270;2041;1752;2328;199;105;284
63.0;16.0;;Sweden;2020-03-24;2312;1988;2627;2219;1741;2745;202;85;315
63.0;16.0;;Sweden;2020-03-25;2513;1979;2913;2369;1723;3085;181;68;346
63.0;16.0;;Sweden;2020-03-26;2737;2057;3394;2558;1740;3552;214;25;376
63.0;16.0;;Sweden;2020-03-27;2978;2058;3824;2663;1606;3931;216;27;433
40.0;-4.0;;Spain;2020-03-23;32705;27827;37836;28283;22845;34517;5427;2187;7934
40.0;-4.0;;Spain;2020-03-24;38185;28754;47664;32533;23697;43719;5755;2673;8136
40.0;-4.0;;Spain;2020-03-25;48565;30958;62238;36030;24357;48760;5631;2471;8927
40.0;-4.0;;Spain;2020-03-26;52171;32221;75379;39989;23341;58135;5681;2462;8993
40.0;-4.0;;Spain;2020-03-27;58585;30225;89235;43632;23076;67839;5126;535;9489
-34.9285;138.6007;South Australia;Australia;2020-03-23;120;94;145;121;92;145;23;0;49
-34.9285;138.6007;South Australia;Australia;2020-03-24;152;98;214;149;92;200;24;0;65
-34.9285;138.6007;South Australia;Australia;2020-03-25;188;94;265;192;99;299;29;0;92
-34.9285;138.6007;South Australia;Australia;2020-03-26;235;99;363;228;66;355;35;0;104
-34.9285;138.6007;South Australia;Australia;2020-03-27;255;61;420;262;44;431;25;0;92
50.8333;4.0;;Belgium;2020-03-23;3927;3321;4481;3608;2882;4233;684;178;1130
50.8333;4.0;;Belgium;2020-03-24;4655;3515;5826;4368;2963;5552;781;246;1315
50.8333;4.0;;Belgium;2020-03-25;5598;3826;7386;5046;3179;6868;791;150;1818
50.8333;4.0;;Belgium;2020-03-26;6736;4171;9677;5697;3320;8380;803;0;1608
50.8333;4.0;;Belgium;2020-03-27;8070;4711;11562;6709;3388;10535;941;0;1843
26.0;30.0;;Egypt;2020-03-23;355;311;398;293;259;345;34;0;65
26.0;30.0;;Egypt;2020-03-24;395;325;489;341;260;428;38;0;87
26.0;30.0;;Egypt;2020-03-25;438;339;559;392;271;523;35;0;89
26.0;30.0;;Egypt;2020-03-26;494;357;652;449;269;650;42;0;92
26.0;30.0;;Egypt;2020-03-27;555;364;756;500;284;778;35;0;98
33.8547;35.8623;;Lebanon;2020-03-23;270;236;301;254;229;297;38;0;68
33.8547;35.8623;;Lebanon;2020-03-24;305;247;362;299;232;375;51;0;101
33.8547;35.8623;;Lebanon;2020-03-25;354;254;456;337;232;476;54;0;110
33.8547;35.8623;;Lebanon;2020-03-26;422;270;571;393;225;600;63;0;157
33.8547;35.8623;;Lebanon;2020-03-27;485;280;720;455;236;735;47;0;143
33.0;44.0;;Iraq;2020-03-23;250;222;272;172;151;187;16;3;27
33.0;44.0;;Iraq;2020-03-24;269;229;305;187;153;220;19;0;33
33.0;44.0;;Iraq;2020-03-25;289;232;353;199;145;248;17;0;38
33.0;44.0;;Iraq;2020-03-26;313;229;401;215;144;281;17;0;42
33.0;44.0;;Iraq;2020-03-27;342;238;454;229;150;313;21;0;50
26.0275;50.55;;Bahrain;2020-03-23;346;324;369;184;168;200;22;8;40
26.0275;50.55;;Bahrain;2020-03-24;366;324;407;191;162;225;21;2;40
26.0275;50.55;;Bahrain;2020-03-25;389;334;438;198;151;241;25;0;58
26.0275;50.55;;Bahrain;2020-03-26;411;328;493;209;147;261;11;0;56
26.0275;50.55;;Bahrain;2020-03-27;435;334;535;218;146;279;40;0;72
29.5;47.75;;Kuwait;2020-03-23;195;182;212;164;145;183;14;6;23
29.5;47.75;;Kuwait;2020-03-24;209;189;235;174;147;208;14;0;26
29.5;47.75;;Kuwait;2020-03-25;225;193;265;185;140;232;15;0;35
29.5;47.75;;Kuwait;2020-03-26;238;193;285;198;139;266;16;0;41
29.5;47.75;;Kuwait;2020-03-27;256;195;324;213;139;289;14;0;30
28.0339;1.6596;;Algeria;2020-03-23;239;196;278;140;114;167;47;4;96
28.0339;1.6596;;Algeria;2020-03-24;299;206;372;169;117;231;54;0;117
28.0339;1.6596;;Algeria;2020-03-25;340;206;485;180;118;300;63;0;137
28.0339;1.6596;;Algeria;2020-03-26;420;183;596;229;101;396;87;0;196
28.0339;1.6596;;Algeria;2020-03-27;529;181;877;309;124;525;61;0;195
45.1;15.2;;Croatia;2020-03-23;311;260;376;310;222;403;60;9;119
45.1;15.2;;Croatia;2020-03-24;386;255;495;402;248;588;76;0;174
45.1;15.2;;Croatia;2020-03-25;476;281;677;515;275;752;116;0;189
45.1;15.2;;Croatia;2020-03-26;564;279;861;662;328;1021;71;0;195
45.1;15.2;;Croatia;2020-03-27;692;205;1012;734;300;1240;86;0;253
46.8182;8.2275;;Switzerland;2020-03-23;8110;7042;9818;8009;6981;10170;1583;796;2215
46.8182;8.2275;;Switzerland;2020-03-24;9990;7120;12738;9964;7231;12890;1513;284;2362
46.8182;8.2275;;Switzerland;2020-03-25;11967;7828;16230;11861;7912;16682;1574;414;2958
46.8182;8.2275;;Switzerland;2020-03-26;13766;8064;19318;13471;8451;19547;1534;7;2763
46.8182;8.2275;;Switzerland;2020-03-27;15921;7842;23540;15510;9022;22321;1775;356;3186
47.5162;14.5501;;Austria;2020-03-23;3738;3191;4423;3769;3076;4498;562;245;959
47.5162;14.5501;;Austria;2020-03-24;4412;3163;5860;4350;2984;5683;634;89;1073
47.5162;14.5501;;Austria;2020-03-25;5051;3054;7341;5078;3067;7212;598;47;1186
47.5162;14.5501;;Austria;2020-03-26;5931;3333;8682;5856;3061;8864;708;0;1299
47.5162;14.5501;;Austria;2020-03-27;6846;3411;10444;6644;3262;10405;577;0;1328
31.0;35.0;;Israel;2020-03-23;1251;992;1437;1294;999;1681;266;62;407
31.0;35.0;;Israel;2020-03-24;1512;1066;1927;1567;1054;2154;289;12;501
31.0;35.0;;Israel;2020-03-25;2076;1070;2462;1867;1077;2828;315;4;570
31.0;35.0;;Israel;2020-03-26;2144;1142;3133;2170;953;3349;322;0;663
31.0;35.0;;Israel;2020-03-27;2467;1107;3810;2542;1118;3961;352;0;766
30.3753;69.3451;;Pakistan;2020-03-23;934;758;1090;986;782;1228;145;4;378
30.3753;69.3451;;Pakistan;2020-03-24;1131;756;1520;1288;911;1746;188;0;419
30.3753;69.3451;;Pakistan;2020-03-25;1317;788;1788;1590;988;2318;203;0;471
30.3753;69.3451;;Pakistan;2020-03-26;1621;813;2351;1912;970;3051;204;0;474
30.3753;69.3451;;Pakistan;2020-03-27;2270;774;2821;2142;982;3252;202;0;525
-14.235;-51.9253;;Brazil;2020-03-23;1917;1548;2258;2032;1498;2560;426;31;745
-14.235;-51.9253;;Brazil;2020-03-24;2514;1653;3270;2547;1211;3614;479;0;916
-14.235;-51.9253;;Brazil;2020-03-25;2984;1919;4010;3116;1636;4673;522;0;1151
-14.235;-51.9253;;Brazil;2020-03-26;3478;1709;4806;3825;1684;5604;534;0;1001
-14.235;-51.9253;;Brazil;2020-03-27;3852;1594;5547;4513;1517;7171;624;0;1379
39.0742;21.8243;;Greece;2020-03-23;679;620;740;658;577;751;57;24;93
39.0742;21.8243;;Greece;2020-03-24;732;623;841;750;575;892;66;25;104
39.0742;21.8243;;Greece;2020-03-25;819;634;995;813;545;1060;84;10;160
39.0742;21.8243;;Greece;2020-03-26;893;639;1148;906;549;1229;87;20;150
39.0742;21.8243;;Greece;2020-03-27;1002;662;1385;932;548;1418;76;0;159
41.6086;21.7453;;North Macedonia;2020-03-23;124;106;171;141;108;185;37;0;73
41.6086;21.7453;;North Macedonia;2020-03-24;172;108;238;179;101;267;31;0;85
41.6086;21.7453;;North Macedonia;2020-03-25;220;98;329;236;113;366;45;0;117
41.6086;21.7453;;North Macedonia;2020-03-26;253;98;420;308;79;519;33;0;127
41.6086;21.7453;;North Macedonia;2020-03-27;302;81;529;397;56;580;56;0;138
60.472;8.4689;;Norway;2020-03-23;2549;2350;2789;2609;2174;3017;239;152;324
60.472;8.4689;;Norway;2020-03-24;2786;2421;3192;2825;2179;3595;236;147;376
60.472;8.4689;;Norway;2020-03-25;3107;2522;3685;3091;2213;4213;270;105;426
60.472;8.4689;;Norway;2020-03-26;3394;2621;4246;3370;2299;4759;284;89;479
60.472;8.4689;;Norway;2020-03-27;3701;2664;4883;3540;2159;5394;302;4;553
45.9432;24.9668;;Romania;2020-03-23;492;421;557;411;354;476;78;21;133
45.9432;24.9668;;Romania;2020-03-24;551;435;679;482;339;606;76;7;156
45.9432;24.9668;;Romania;2020-03-25;645;466;830;549;328;762;81;0;162
45.9432;24.9668;;Romania;2020-03-26;757;487;1051;643;326;960;105;0;236
45.9432;24.9668;;Romania;2020-03-27;903;520;1309;725;334;1139;60;0;217
58.5953;25.0136;;Estonia;2020-03-23;348;321;382;350;305;400;19;5;36
58.5953;25.0136;;Estonia;2020-03-24;374;323;433;383;303;457;17;0;39
58.5953;25.0136;;Estonia;2020-03-25;406;337;487;417;311;527;19;0;45
58.5953;25.0136;;Estonia;2020-03-26;436;349;541;468;327;643;17;0;39
58.5953;25.0136;;Estonia;2020-03-27;470;351;600;522;324;761;17;0;39
43.9424;12.4578;;San Marino;2020-03-23;168;154;178;145;127;162;8;0;17
43.9424;12.4578;;San Marino;2020-03-24;180;158;202;160;128;190;7;0;16
43.9424;12.4578;;San Marino;2020-03-25;190;162;215;171;128;219;9;0;24
43.9424;12.4578;;San Marino;2020-03-26;201;165;238;187;121;267;6;0;23
43.9424;12.4578;;San Marino;2020-03-27;214;162;255;205;129;296;11;0;38
64.9631;-19.0208;;Iceland;2020-03-23;659;574;750;637;511;737;131;45;201
64.9631;-19.0208;;Iceland;2020-03-24;784;614;951;748;549;909;154;22;288
64.9631;-19.0208;;Iceland;2020-03-25;930;630;1214;829;565;1117;146;4;296
64.9631;-19.0208;;Iceland;2020-03-26;1136;654;1569;1064;603;1474;157;0;343
64.9631;-19.0208;;Iceland;2020-03-27;1343;681;2054;1190;576;1740;150;0;370
55.1694;23.8813;;Lithuania;2020-03-23;165;118;214;168;114;231;32;0;72
55.1694;23.8813;;Lithuania;2020-03-24;211;146;285;221;80;352;33;0;89
55.1694;23.8813;;Lithuania;2020-03-25;278;141;396;306;65;474;38;0;113
55.1694;23.8813;;Lithuania;2020-03-26;288;98;444;295;19;562;31;0;137
55.1694;23.8813;;Lithuania;2020-03-27;288;47;528;260;0;580;40;0;160
23.6345;-102.5528;;Mexico;2020-03-23;304;255;356;313;240;384;60;10;117
23.6345;-102.5528;;Mexico;2020-03-24;304;263;474;430;273;555;62;5;154
23.6345;-102.5528;;Mexico;2020-03-25;442;290;654;492;275;703;55;0;158
23.6345;-102.5528;;Mexico;2020-03-26;559;286;883;642;306;1069;72;0;191
23.6345;-102.5528;;Mexico;2020-03-27;613;202;974;799;311;1234;52;0;200
-31.9505;115.8605;Western Australia;Australia;2020-03-23;145;119;180;152;112;190;34;0;65
-31.9505;115.8605;Western Australia;Australia;2020-03-24;191;118;263;200;107;304;39;0;82
-31.9505;115.8605;Western Australia;Australia;2020-03-25;219;112;328;277;109;426;39;0;104
-31.9505;115.8605;Western Australia;Australia;2020-03-26;247;84;377;322;94;567;36;0;126
-31.9505;115.8605;Western Australia;Australia;2020-03-27;284;53;524;317;68;592;40;0;124
53.1424;-7.6921;;Ireland;2020-03-23;1147;924;1340;1147;841;1433;229;58;429
53.1424;-7.6921;;Ireland;2020-03-24;1419;991;1870;1484;973;1914;230;14;477
53.1424;-7.6921;;Ireland;2020-03-25;1624;1036;2384;1843;1067;2506;254;0;624
53.1424;-7.6921;;Ireland;2020-03-26;2053;1098;3060;2262;1129;3286;278;0;706
53.1424;-7.6921;;Ireland;2020-03-27;2327;1049;3559;2508;1119;3829;319;0;730
49.8153;6.1296;;Luxembourg;2020-03-23;1002;807;1211;1019;718;1319;234;13;408
49.8153;6.1296;;Luxembourg;2020-03-24;1246;823;1647;1325;696;1999;258;0;538
49.8153;6.1296;;Luxembourg;2020-03-25;1593;901;2274;1637;628;2515;263;0;578
49.8153;6.1296;;Luxembourg;2020-03-26;1894;836;2604;1978;683;3237;281;0;687
49.8153;6.1296;;Luxembourg;2020-03-27;2246;864;3275;2321;681;3764;364;0;903
25.3548;51.1839;;Qatar;2020-03-23;509;482;533;481;429;542;5;0;17
25.3548;51.1839;;Qatar;2020-03-24;523;485;568;502;416;591;1;0;3
25.3548;51.1839;;Qatar;2020-03-25;550;486;601;515;388;617;5;0;23
25.3548;51.1839;;Qatar;2020-03-26;562;486;624;537;369;680;0;0;0
25.3548;51.1839;;Qatar;2020-03-27;576;492;653;561;357;713;0;0;5
-1.8312;-78.1834;;Ecuador;2020-03-23;985;742;1272;847;603;1330;268;106;442
-1.8312;-78.1834;;Ecuador;2020-03-24;1213;843;1572;1223;500;2037;330;70;542
-1.8312;-78.1834;;Ecuador;2020-03-25;1465;882;2046;1625;503;2600;305;0;637
-1.8312;-78.1834;;Ecuador;2020-03-26;1646;803;2445;1766;423;2993;403;0;822
-1.8312;-78.1834;;Ecuador;2020-03-27;1824;586;2954;2008;306;3179;321;0;873
40.0691;45.0382;;Armenia;2020-03-23;225;184;263;220;175;282;40;5;80
40.0691;45.0382;;Armenia;2020-03-24;272;199;346;293;200;396;43;1;94
40.0691;45.0382;;Armenia;2020-03-25;329;187;482;370;228;538;42;0;114
40.0691;45.0382;;Armenia;2020-03-26;378;189;568;456;227;697;43;0;117
40.0691;45.0382;;Armenia;2020-03-27;473;192;724;515;253;829;45;0;141
18.7357;-70.1627;;Dominican Republic;2020-03-23;256;160;332;264;129;382;44;0;108
18.7357;-70.1627;;Dominican Republic;2020-03-24;314;145;425;316;64;607;81;0;157
18.7357;-70.1627;;Dominican Republic;2020-03-25;356;74;515;365;38;829;66;0;187
18.7357;-70.1627;;Dominican Republic;2020-03-26;365;42;627;451;0;903;89;0;263
18.7357;-70.1627;;Dominican Republic;2020-03-27;401;21;779;444;0;820;59;0;243
-0.7893;113.9213;;Indonesia;2020-03-23;587;508;686;533;422;651;118;30;188
-0.7893;113.9213;;Indonesia;2020-03-24;701;505;866;637;433;847;144;16;259
-0.7893;113.9213;;Indonesia;2020-03-25;845;499;1141;779;434;1118;152;0;338
-0.7893;113.9213;;Indonesia;2020-03-26;1028;499;1470;908;475;1404;132;0;346
-0.7893;113.9213;;Indonesia;2020-03-27;1195;451;1791;1111;472;1831;137;0;361
39.3999;-8.2245;;Portugal;2020-03-23;1987;1598;2418;2051;1539;2649;373;121;673
39.3999;-8.2245;;Portugal;2020-03-24;2450;1774;3192;2634;1668;3583;480;104;845
39.3999;-8.2245;;Portugal;2020-03-25;3005;1938;4229;3243;1996;4703;582;47;1041
39.3999;-8.2245;;Portugal;2020-03-26;3819;2234;5156;3866;2202;5972;420;0;1021
39.3999;-8.2245;;Portugal;2020-03-27;4208;1880;5905;4400;2307;7020;120;0;1315
42.5063;1.5218;;Andorra;2020-03-23;141;113;175;147;98;186;25;0;55
42.5063;1.5218;;Andorra;2020-03-24;177;103;240;204;103;313;28;0;76
42.5063;1.5218;;Andorra;2020-03-25;216;97;317;269;111;411;22;0;98
42.5063;1.5218;;Andorra;2020-03-26;261;95;381;362;106;545;36;0;100
42.5063;1.5218;;Andorra;2020-03-27;290;70;488;385;97;606;43;0;133
56.8796;24.6032;;Latvia;2020-03-23;164;134;184;167;133;202;26;0;60
56.8796;24.6032;;Latvia;2020-03-24;200;141;231;206;137;275;32;0;73
56.8796;24.6032;;Latvia;2020-03-25;232;144;296;266;163;358;21;0;88
56.8796;24.6032;;Latvia;2020-03-26;268;152;388;333;176;517;24;0;86
56.8796;24.6032;;Latvia;2020-03-27;309;142;508;389;190;622;38;0;99
31.7917;-7.0926;;Morocco;2020-03-23;133;108;162;136;99;167;24;1;51
31.7917;-7.0926;;Morocco;2020-03-24;165;108;222;166;99;230;29;0;71
31.7917;-7.0926;;Morocco;2020-03-25;203;121;281;204;103;328;34;0;91
31.7917;-7.0926;;Morocco;2020-03-26;248;127;363;259;95;458;42;0;105
31.7917;-7.0926;;Morocco;2020-03-27;294;127;457;295;102;519;19;0;76
24.0;45.0;;Saudi Arabia;2020-03-23;606;500;707;617;470;752;112;30;206
24.0;45.0;;Saudi Arabia;2020-03-24;717;541;963;788;532;1040;136;8;264
24.0;45.0;;Saudi Arabia;2020-03-25;924;568;1277;954;546;1441;181;0;331
24.0;45.0;;Saudi Arabia;2020-03-26;1186;592;1695;1164;431;1737;183;0;395
24.0;45.0;;Saudi Arabia;2020-03-27;1302;586;1991;1377;478;2321;150;0;408
-38.4161;-63.6167;;Argentina;2020-03-23;271;213;319;268;206;340;55;9;104
-38.4161;-63.6167;;Argentina;2020-03-24;336;228;444;342;214;473;63;10;131
-38.4161;-63.6167;;Argentina;2020-03-25;410;258;602;431;168;701;65;0;190
-38.4161;-63.6167;;Argentina;2020-03-26;537;249;764;524;133;823;69;0;176
-38.4161;-63.6167;;Argentina;2020-03-27;571;225;878;578;110;965;73;0;268
-35.6751;-71.543;;Chile;2020-03-23;768;647;892;780;627;951;165;50;322
-35.6751;-71.543;;Chile;2020-03-24;919;651;1219;1001;634;1396;179;9;324
-35.6751;-71.543;;Chile;2020-03-25;1149;713;1582;1278;753;1869;176;1;407
-35.6751;-71.543;;Chile;2020-03-26;1383;806;1921;1583;826;2389;152;0;428
-35.6751;-71.543;;Chile;2020-03-27;1603;820;2297;1806;921;2909;0;0;351
31.24;36.51;;Jordan;2020-03-23;137;107;173;136;110;171;29;2;56
31.24;36.51;;Jordan;2020-03-24;174;115;225;181;129;256;25;0;66
31.24;36.51;;Jordan;2020-03-25;212;108;294;243;127;393;31;0;68
31.24;36.51;;Jordan;2020-03-26;251;117;404;289;116;482;22;0;97
31.24;36.51;;Jordan;2020-03-27;257;109;416;337;126;545;18;0;94
47.1625;19.5033;;Hungary;2020-03-23;156;124;184;129;106;151;27;3;56
47.1625;19.5033;;Hungary;2020-03-24;187;135;240;155;110;203;31;0;80
47.1625;19.5033;;Hungary;2020-03-25;224;138;302;192;121;266;38;0;94
47.1625;19.5033;;Hungary;2020-03-26;262;132;386;226;121;334;39;0;131
47.1625;19.5033;;Hungary;2020-03-27;322;135;500;295;117;419;34;0;103
51.9194;19.1451;;Poland;2020-03-23;719;595;833;758;629;907;128;41;225
51.9194;19.1451;;Poland;2020-03-24;852;600;1080;930;688;1217;150;19;298
51.9194;19.1451;;Poland;2020-03-25;1007;592;1386;1128;722;1563;161;0;338
51.9194;19.1451;;Poland;2020-03-26;1201;603;1762;1401;816;2011;194;0;505
51.9194;19.1451;;Poland;2020-03-27;1414;616;2149;1678;902;2467;148;0;391
43.9159;17.6791;;Bosnia and Herzegovina;2020-03-23;151;122;187;157;115;197;29;0;58
43.9159;17.6791;;Bosnia and Herzegovina;2020-03-24;191;132;258;343;128;294;42;0;79
43.9159;17.6791;;Bosnia and Herzegovina;2020-03-25;235;134;335;245;122;378;52;0;113
43.9159;17.6791;;Bosnia and Herzegovina;2020-03-26;289;135;437;308;129;494;45;0;108
43.9159;17.6791;;Bosnia and Herzegovina;2020-03-27;337;125;508;366;103;622;38;0;132
46.1512;14.9955;;Slovenia;2020-03-23;451;404;489;453;374;532;31;10;50
46.1512;14.9955;;Slovenia;2020-03-24;483;398;567;506;361;622;32;15;53
46.1512;14.9955;;Slovenia;2020-03-25;531;426;646;561;370;738;36;13;61
46.1512;14.9955;;Slovenia;2020-03-26;596;429;726;622;363;865;31;0;59
46.1512;14.9955;;Slovenia;2020-03-27;642;437;856;676;368;993;30;0;75
-30.5595;22.9375;;South Africa;2020-03-23;321;262;379;349;282;418;63;0;126
-30.5595;22.9375;;South Africa;2020-03-24;373;261;493;429;298;567;85;0;178
-30.5595;22.9375;;South Africa;2020-03-25;454;254;660;572;315;797;77;0;160
-30.5595;22.9375;;South Africa;2020-03-26;566;260;849;690;323;1082;96;0;231
-30.5595;22.9375;;South Africa;2020-03-27;629;232;979;776;330;1274;83;0;242
4.5709;-74.2973;;Colombia;2020-03-23;269;226;320;288;216;357;62;11;113
4.5709;-74.2973;;Colombia;2020-03-24;338;220;464;371;249;482;68;0;131
4.5709;-74.2973;;Colombia;2020-03-25;417;212;665;477;271;672;75;0;165
4.5709;-74.2973;;Colombia;2020-03-26;470;182;759;567;300;877;77;0;223
4.5709;-74.2973;;Colombia;2020-03-27;540;170;907;645;265;1013;103;0;261
9.7489;-83.7534;;Costa Rica;2020-03-23;157;126;188;171;130;200;34;0;70
9.7489;-83.7534;;Costa Rica;2020-03-24;195;137;258;208;139;269;36;0;87
9.7489;-83.7534;;Costa Rica;2020-03-25;234;139;327;0;140;382;39;0;99
9.7489;-83.7534;;Costa Rica;2020-03-26;283;145;407;313;134;471;5;0;97
9.7489;-83.7534;;Costa Rica;2020-03-27;317;135;506;378;112;592;0;0;127
-9.19;-75.0152;;Peru;2020-03-23;422;361;526;446;335;534;91;18;158
-9.19;-75.0152;;Peru;2020-03-24;541;406;714;571;349;757;108;13;189
-9.19;-75.0152;;Peru;2020-03-25;679;418;975;704;363;1019;110;3;223
-9.19;-75.0152;;Peru;2020-03-26;817;450;1232;855;370;1284;120;0;280
-9.19;-75.0152;;Peru;2020-03-27;837;396;1458;1018;393;1529;84;0;276
