Lat;Lang;Province;Country;Date;Forecast Confirmed Cases;Forecast Confirmed Cases Upper Bound;Forecast Confirmed Cases Lower Bound;Forecast Active Cases;Forecast Active Cases Upper Bound;Forecast Active Cases Lower Bound;Forecast New Cases;Forecast New Cases Upper Bound;Forecast New Cases Lower Bound
15.0;101.0;;Thailand;2020-03-23;711;575;829;696;498;895;153;20;249
15.0;101.0;;Thailand;2020-03-24;893;623;1157;884;484;1292;178;19;340
15.0;101.0;;Thailand;2020-03-25;1134;653;1551;1063;505;1658;190;0;453
15.0;101.0;;Thailand;2020-03-26;1355;588;1892;1287;463;1953;218;0;438
15.0;101.0;;Thailand;2020-03-27;1460;532;2194;1534;333;2410;166;0;615
36.0;138.0;;Japan;2020-03-23;1131;1070;1199;828;748;915;39;25;55
36.0;138.0;;Japan;2020-03-24;1197;1082;1327;853;737;992;45;29;63
36.0;138.0;;Japan;2020-03-25;1271;1088;1427;901;711;1087;61;25;96
36.0;138.0;;Japan;2020-03-26;1362;1141;1550;947;695;1196;52;22;77
36.0;138.0;;Japan;2020-03-27;1481;1146;1746;990;671;1355;57;28;90
1.2833;103.8333;;Singapore;2020-03-23;491;429;560;360;303;415;55;8;99
1.2833;103.8333;;Singapore;2020-03-24;491;467;673;416;311;524;64;10;107
1.2833;103.8333;;Singapore;2020-03-25;626;481;776;496;314;682;69;0;142
1.2833;103.8333;;Singapore;2020-03-26;719;489;947;567;318;817;72;0;145
1.2833;103.8333;;Singapore;2020-03-27;829;492;1156;657;309;1003;76;0;171
2.5;112.5;;Malaysia;2020-03-23;1499;1270;1680;1331;1088;1645;182;72;285
2.5;112.5;;Malaysia;2020-03-24;1701;1289;2055;1551;1146;2027;200;61;318
2.5;112.5;;Malaysia;2020-03-25;1929;1385;2511;1781;1170;2545;239;95;382
2.5;112.5;;Malaysia;2020-03-26;2182;1337;3062;2046;1293;2954;243;79;392
2.5;112.5;;Malaysia;2020-03-27;2564;1429;3776;2330;1350;3620;211;36;420
49.2827;-123.1207;British Columbia;Canada;2020-03-23;530;426;622;495;370;627;99;0;222
49.2827;-123.1207;British Columbia;Canada;2020-03-24;620;440;818;650;408;900;121;0;231
49.2827;-123.1207;British Columbia;Canada;2020-03-25;742;435;1027;807;459;1198;99;0;242
49.2827;-123.1207;British Columbia;Canada;2020-03-26;879;473;1248;961;451;1476;90;0;291
49.2827;-123.1207;British Columbia;Canada;2020-03-27;1052;501;1603;1168;430;1927;59;0;298
-33.8688;151.2093;New South Wales;Australia;2020-03-23;611;527;733;617;508;732;102;30;189
-33.8688;151.2093;New South Wales;Australia;2020-03-24;717;511;965;745;557;947;126;10;233
-33.8688;151.2093;New South Wales;Australia;2020-03-25;869;519;1217;899;601;1200;129;0;281
-33.8688;151.2093;New South Wales;Australia;2020-03-26;1039;581;1502;1075;570;1572;146;0;261
-33.8688;151.2093;New South Wales;Australia;2020-03-27;1232;606;1868;1296;552;1951;147;0;378
-37.8136;144.9631;Victoria;Australia;2020-03-23;356;286;426;271;213;333;62;11;120
-37.8136;144.9631;Victoria;Australia;2020-03-24;452;312;566;338;222;447;54;0;149
-37.8136;144.9631;Victoria;Australia;2020-03-25;550;337;730;417;246;603;58;0;178
-37.8136;144.9631;Victoria;Australia;2020-03-26;670;338;948;500;217;754;87;0;231
-37.8136;144.9631;Victoria;Australia;2020-03-27;758;330;1156;595;241;931;92;0;262
-28.0167;153.4;Queensland;Australia;2020-03-23;264;226;306;269;216;312;91;0;95
-28.0167;153.4;Queensland;Australia;2020-03-24;310;232;398;329;214;434;38;0;99
-28.0167;153.4;Queensland;Australia;2020-03-25;368;239;519;387;214;560;44;0;122
-28.0167;153.4;Queensland;Australia;2020-03-26;428;238;618;473;228;704;57;0;121
-28.0167;153.4;Queensland;Australia;2020-03-27;508;227;786;533;229;911;43;0;124
51.0;9.0;;Germany;2020-03-23;29014;24355;33120;28892;23501;35857;4202;1661;6670
51.0;9.0;;Germany;2020-03-24;33140;25616;41804;34335;21117;48297;4379;1446;7503
51.0;9.0;;Germany;2020-03-25;38715;27181;51791;39777;21889;55665;4970;1498;7699
51.0;9.0;;Germany;2020-03-26;44676;26282;64115;43410;22245;63316;4921;1510;7982
51.0;9.0;;Germany;2020-03-27;51516;27622;77555;47969;21178;73134;4063;1026;8289
64.0;26.0;;Finland;2020-03-23;700;614;759;703;601;834;96;39;169
64.0;26.0;;Finland;2020-03-24;789;650;934;818;634;1036;106;21;192
64.0;26.0;;Finland;2020-03-25;913;692;1152;967;672;1351;135;25;244
64.0;26.0;;Finland;2020-03-26;1063;720;1464;1125;696;1729;136;0;271
64.0;26.0;;Finland;2020-03-27;1201;757;1746;1245;687;1994;129;0;254
24.0;54.0;;United Arab Emirates;2020-03-23;163;151;176;119;105;140;9;0;18
24.0;54.0;;United Arab Emirates;2020-03-24;174;150;196;133;101;155;8;0;25
24.0;54.0;;United Arab Emirates;2020-03-25;185;154;216;143;99;173;6;0;16
24.0;54.0;;United Arab Emirates;2020-03-26;199;160;239;156;104;197;9;0;26
24.0;54.0;;United Arab Emirates;2020-03-27;213;160;274;167;105;229;6;0;31
13.0;122.0;;Philippines;2020-03-23;422;371;474;395;327;466;60;0;115
13.0;122.0;;Philippines;2020-03-24;490;402;590;470;351;605;66;4;145
13.0;122.0;;Philippines;2020-03-25;571;395;747;568;365;836;77;0;172
13.0;122.0;;Philippines;2020-03-26;676;383;951;678;386;993;73;0;192
13.0;122.0;;Philippines;2020-03-27;711;401;1130;803;340;1263;72;0;199
21.0;78.0;;India;2020-03-23;452;399;527;444;344;543;76;0;153
21.0;78.0;;India;2020-03-24;560;433;703;541;346;748;96;0;212
21.0;78.0;;India;2020-03-25;686;435;911;637;339;926;115;0;248
21.0;78.0;;India;2020-03-26;829;454;1157;784;357;1225;89;0;256
21.0;78.0;;India;2020-03-27;980;468;1377;938;330;1503;121;0;305
43.0;12.0;;Italy;2020-03-23;65138;57234;74266;52252;42224;61015;6029;3698;9979
43.0;12.0;;Italy;2020-03-24;72191;57622;86849;56541;40935;70428;7051;3585;11431
43.0;12.0;;Italy;2020-03-25;81792;58699;106199;60388;37247;78295;7789;2076;12479
